"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.664275860E-1,-9.576806799E-3,-1.580173075E-1,1.004876423E1,1.005001113E1
2.684425860E-1,7.422025502E-2,-1.412578970E-1,9.931447983E0,9.932729810E0
2.704565860E-1,8.140286058E-2,-1.580173075E-1,9.747094154E0,9.748714805E0
2.724710860E-1,6.943184882E-2,-1.556231081E-1,9.660902977E0,9.662405791E0
2.744847520E-1,9.576806799E-3,-1.675941199E-1,9.512462616E0,9.513943689E0
2.764982520E-1,-1.029506698E-1,-2.154781520E-1,9.402329445E0,9.405361698E0
2.785116520E-1,-1.580173075E-1,-2.705447972E-1,9.361627579E0,9.366869001E0
2.805248180E-1,-2.370259613E-1,-3.687070608E-1,9.311349869E0,9.321660935E0
2.825379600E-1,-2.226607651E-1,-3.136404157E-1,9.383175850E0,9.391056232E0
2.845510850E-1,-9.097966552E-2,-1.173158810E-1,9.644144058E0,9.645286669E0
2.865641960E-1,-7.182605099E-3,-2.873042040E-2,9.804554939E0,9.804599665E0
2.885774960E-1,2.082955539E-1,-4.788403399E-3,1.009425354E1,1.009640354E1
2.905909500E-1,3.974374831E-1,-1.795651317E-1,1.021875191E1,1.022805410E1
2.926044500E-1,4.596867263E-1,-3.064578176E-1,1.021156979E1,1.022650408E1
2.946181420E-1,4.860229492E-1,-5.339069963E-1,1.003918743E1,1.006511596E1
2.966318560E-1,4.189853072E-1,-6.081272364E-1,9.730335236E0,9.758319078E0
2.986455890E-1,3.758896589E-1,-5.793967843E-1,9.572318077E0,9.597201000E0
3.007115260E-1,1.556231081E-1,-2.896983922E-1,9.241917610E0,9.247766478E0
3.027744080E-1,6.703764945E-2,-5.027823523E-2,9.239523888E0,9.239903875E0
3.048345190E-1,6.464344263E-2,1.197100803E-2,9.292196274E0,9.292428836E0
3.068921500E-1,9.816227108E-2,-6.703764945E-2,9.428665161E0,9.429414436E0
3.089475500E-1,1.843535304E-1,-2.777273953E-1,9.557952881E0,9.563764008E0
3.110009300E-1,2.274491638E-1,-3.280056417E-1,9.620202065E0,9.628479038E0
3.130524750E-1,3.136404157E-1,-1.867477298E-1,9.818920135E0,9.825702909E0
3.151024310E-1,3.543418646E-1,8.379705995E-2,1.006312943E1,1.006971469E1
3.171508890E-1,3.280056417E-1,1.915361285E-1,1.015889740E1,1.016599578E1
3.191980090E-1,9.816227108E-2,1.699883193E-1,1.016129112E1,1.016318696E1
3.212437780E-1,1.675941236E-2,9.337386489E-2,1.006073475E1,1.006118200E1
3.232883700E-1,-1.819593310E-1,-5.267243832E-2,9.727940559E0,9.729784741E0
3.253318700E-1,-2.513911724E-1,-1.005564705E-1,9.543587685E0,9.547427665E0
3.273743520E-1,-2.370259613E-1,-1.292868853E-1,9.174880028E0,9.178851776E0
3.294158850E-1,2.825157940E-1,8.140286058E-2,8.818143845E0,8.823043832E0
3.314574180E-1,2.346317619E-1,-3.591302410E-2,8.662521362E0,8.665772797E0
3.334989510E-1,7.182605099E-3,-2.011129409E-1,8.676886559E0,8.679219916E0
3.355405510E-1,1.508347094E-1,-1.460463107E-1,9.043199539E0,9.045636436E0
3.375821840E-1,3.878606856E-1,-1.101332754E-1,9.337685585E0,9.346386325E0
3.396237840E-1,5.003881454E-1,-1.963245422E-1,9.871592522E0,9.886216189E0
3.416653500E-1,2.298433632E-1,-3.782838583E-1,1.016129112E1,1.017092739E1
3.437069160E-1,4.548983276E-2,-3.351882398E-1,1.042704773E1,1.043253300E1
3.457484820E-1,1.675941236E-2,-2.585737705E-1,1.057069969E1,1.057387503E1
3.478050480E-1,-2.873042040E-2,-1.604115069E-1,1.068083286E1,1.068207601E1
3.498616140E-1,-3.112462163E-2,-2.394201756E-1,1.047972012E1,1.048250087E1
3.519181800E-1,1.197100803E-2,-3.998316824E-1,1.004876423E1,1.005672269E1
3.539747460E-1,3.591302410E-2,-5.075707436E-1,9.814131737E0,9.827313954E0
3.560312460E-1,1.364694983E-1,-5.051765442E-1,9.409511566E0,9.424050890E0
3.580877460E-1,3.064578176E-1,-3.591302633E-1,9.213187218E0,9.225275587E0
3.601441790E-1,5.841852427E-1,-2.633621916E-2,9.320926666E0,9.339252642E0
3.621727790E-1,9.193734527E-1,1.316810995E-1,9.610625267E0,9.655397738E0
3.642013790E-1,8.020575643E-1,-4.070143029E-2,1.002482224E1,1.005693859E1
3.662300120E-1,1.891419291E-1,-1.987187415E-1,1.016847420E1,1.017217436E1
3.682586450E-1,-4.548983276E-2,-1.604115069E-1,1.023072338E1,1.023208200E1
3.702873110E-1,-3.303998411E-1,-5.985504389E-2,1.040071106E1,1.040612979E1
3.723159770E-1,-4.357447028E-1,-1.005564705E-1,1.039831734E1,1.040792912E1
3.743447100E-1,-4.070142806E-1,-2.513911724E-1,1.016368580E1,1.017493819E1
3.763733760E-1,-2.154781520E-1,-2.944868207E-1,1.000088024E1,1.000753511E1
3.784020760E-1,3.591302410E-2,-2.729389966E-1,9.725546837E0,9.729442261E0
3.804306760E-1,2.035071403E-1,-1.460463107E-1,9.478943825E0,9.482252935E0
3.824592420E-1,2.011129409E-1,-7.661445439E-2,9.375992775E0,9.378462385E0
3.844877750E-1,1.173158810E-1,5.985504389E-2,9.275436401E0,9.276371385E0
3.865162410E-1,-4.070143029E-2,1.460463107E-1,9.311349869E0,9.312584094E0
3.885446410E-1,-1.388636976E-1,1.436520964E-1,9.404723167E0,9.406845215E0
3.905730070E-1,-3.088520169E-1,6.943184882E-2,9.634567261E0,9.639766421E0
3.926013730E-1,-3.639186621E-1,-6.943184882E-2,9.864410400E0,9.871365160E0
3.946297060E-1,-2.968810201E-1,-1.915361285E-1,1.001285076E1,1.001908203E1
3.966580390E-1,-2.609679997E-1,-2.489969730E-1,1.000327396E1,1.000977491E1
3.986863720E-1,-2.322375625E-1,-3.208230138E-1,9.936236382E0,9.944126665E0
4.007148050E-1,-1.173158810E-1,-3.232172430E-1,9.924264908E0,9.930219855E0
4.027433050E-1,-2.394201607E-2,-3.280056417E-1,9.890746117E0,9.896212390E0
4.047718050E-1,6.703764945E-2,-2.849099934E-1,9.888352394E0,9.892683196E0
4.068003380E-1,2.394201607E-2,-2.035071403E-1,9.948206902E0,9.950317027E0
4.088138710E-1,-4.548983276E-2,-1.939303428E-1,9.986514091E0,9.988500488E0
4.108273710E-1,-2.466027737E-1,-1.747767180E-1,1.003918743E1,1.004373656E1
4.128408370E-1,-8.834604025E-1,1.532289088E-1,1.014932060E1,1.018885126E1
4.148543030E-1,-9.097966552E-1,-2.873042040E-2,9.905111313E0,9.946848019E0
4.168677690E-1,-6.679822803E-1,-1.436520964E-1,9.696816444E0,9.720858265E0
4.188812020E-1,-1.005564705E-1,-1.628057212E-1,9.368810654E0,9.370764663E0
4.208946680E-1,2.418143749E-1,-7.900865376E-2,9.323320389E0,9.326790425E0
4.229080680E-1,3.734954596E-1,-8.140286058E-2,9.390357971E0,9.398135353E0
4.249214010E-1,2.489969730E-1,-2.059013397E-1,9.660902977E0,9.666304422E0
4.269346670E-1,-7.661445439E-2,-3.926490843E-1,9.984120369E0,9.992132036E0
4.289566000E-1,-1.628057212E-1,-4.620809257E-1,1.032649136E1,1.033810661E1
4.309785000E-1,-8.140286058E-2,-4.477157295E-1,1.047014332E1,1.048002752E1
4.330003660E-1,1.292868853E-1,-3.327940404E-1,1.058745956E1,1.059347757E1
4.350221320E-1,9.816227108E-2,-2.513911724E-1,1.044380665E1,1.044729298E1
4.370439320E-1,-9.576806799E-3,-1.891419291E-1,1.030733776E1,1.030907746E1
4.390656980E-1,-2.729389966E-1,-1.891419291E-1,1.002003384E1,1.002553482E1
4.410875310E-1,-4.189853072E-1,-1.891419291E-1,9.799766541E0,9.810542676E0
4.431094310E-1,-4.094084799E-1,-9.576806426E-2,9.713575363E0,9.722671092E0
4.451313310E-1,-3.519476354E-1,-3.112462163E-2,9.718363762E0,9.724784321E0
4.471532970E-1,-2.442085743E-1,-4.788403399E-3,9.687239647E0,9.690318505E0
4.491752970E-1,-2.346317619E-1,-2.154781520E-1,9.524434090E0,9.529760103E0
4.511972630E-1,-1.915361285E-1,-3.184288144E-1,9.407117844E0,9.414454266E0
4.532192290E-1,-1.795651317E-1,-3.639186621E-1,9.194033623E0,9.202985096E0
4.552411950E-1,-2.059013397E-1,-2.082955539E-1,9.136572838E0,9.141266084E0
4.572631280E-1,-2.418143749E-1,-4.309562966E-2,9.237129211E0,9.240394336E0
4.592850280E-1,-2.705447972E-1,2.873042040E-2,9.342473984E0,9.346434618E0
4.613068610E-1,-2.466027737E-1,1.412578970E-1,9.581894875E0,9.586108497E0
4.633565270E-1,-2.130839527E-1,1.532289088E-1,9.806949615E0,9.810460979E0
4.654062930E-1,-6.224924326E-2,9.816227108E-2,9.931447983E0,9.932128162E0
4.674560590E-1,9.337386489E-2,-1.699883193E-1,9.828496933E0,9.830410300E0
4.695058590E-1,1.125274822E-1,-3.351882398E-1,9.720758438E0,9.727186551E0
4.715556590E-1,2.274491638E-1,-4.740519226E-1,9.574711800E0,9.589137834E0
4.736054250E-1,3.256114423E-1,-4.525041282E-1,9.514857292E0,9.531174749E0
4.756551910E-1,3.136404157E-1,-4.165911078E-1,9.526827812E0,9.541088335E0
4.777049240E-1,3.112462163E-1,-3.591302633E-1,9.560346603E0,9.572151061E0
4.797546570E-1,3.471592367E-1,-1.604115069E-1,9.653720856E0,9.661292758E0
4.818043570E-1,3.327940404E-1,6.224924326E-2,9.771036148E0,9.776900033E0
4.838540570E-1,2.609679997E-1,1.292868853E-1,9.818920135E0,9.823238367E0
4.859038230E-1,4.309562966E-2,1.843535304E-1,9.847650528E0,9.849470259E0
4.879536230E-1,-2.466027737E-1,8.619125932E-2,9.790189743E0,9.793674339E0
4.899948230E-1,-3.663128614E-1,1.915361360E-2,9.759065628E0,9.765956886E0
4.920360560E-1,-4.884171486E-1,-6.703764945E-2,9.730335236E0,9.742816285E0
4.940773220E-1,-5.291185975E-1,-1.364694983E-1,9.725546837E0,9.740885570E0
4.961185880E-1,-4.979939461E-1,-1.388636976E-1,9.725546837E0,9.739278329E0
4.981598210E-1,-4.836287498E-1,-1.221042871E-1,9.725546837E0,9.738329811E0
5.002010210E-1,-4.501099288E-1,-6.224924326E-2,9.730335236E0,9.740939262E0
5.022421540E-1,-3.854664862E-1,2.873042040E-2,9.701604843E0,9.709302054E0
5.042832200E-1,-3.208230138E-1,4.788403213E-2,9.672874451E0,9.678311858E0
5.063242200E-1,-2.322375625E-1,7.182605099E-3,9.584288597E0,9.587104557E0
5.083651530E-1,-1.029506698E-1,5.027823523E-2,9.531616211E0,9.532304776E0
5.104071860E-1,-4.070143029E-2,8.379705995E-2,9.486125946E0,9.486583369E0
5.124481190E-1,1.436521020E-2,8.140286058E-2,9.469367027E0,9.469727804E0
5.144889850E-1,-1.436521020E-2,-1.436521020E-2,9.399934769E0,9.399956722E0
5.165297850E-1,-3.112462163E-2,-1.891419291E-1,9.337685585E0,9.339652857E0
5.185706180E-1,-3.591302410E-2,-2.657563984E-1,9.344868660E0,9.348715766E0
5.206114510E-1,-3.830722719E-2,-3.112462163E-1,9.445425034E0,9.450629382E0
5.226523170E-1,-4.788403399E-3,-3.016694188E-1,9.627384186E0,9.632110549E0
5.246653830E-1,1.197100803E-2,-3.016694188E-1,9.711181641E0,9.715873435E0
5.266783490E-1,-2.154781483E-2,-2.585737705E-1,9.840468407E0,9.843888620E0
5.286912820E-1,-7.661445439E-2,-1.651999205E-1,9.917082787E0,9.918754548E0
5.307042150E-1,-8.140286058E-2,3.351882473E-2,9.950601578E0,9.950990991E0
5.327171480E-1,-7.182604820E-2,1.268926859E-1,1.000566864E1,1.000673102E1
5.347300810E-1,-2.394201700E-3,2.035071403E-1,1.000806236E1,1.001013152E1
5.367429810E-1,5.027823523E-2,6.224924326E-2,9.914688110E0,9.915011003E0
5.387558470E-1,6.464344263E-2,-7.661445439E-2,9.833285332E0,9.833796264E0
5.407686800E-1,3.112462163E-2,-3.423708379E-1,9.687239647E0,9.693337841E0
5.427815130E-1,-2.873042040E-2,-4.501099288E-1,9.622595787E0,9.633160129E0
5.457065130E-1,-9.337386489E-2,-3.064578176E-1,9.696816444E0,9.702107206E0
5.475625860E-1,-1.556231081E-1,-5.746084079E-2,9.830891609E0,9.832291194E0
5.495755860E-1,-2.394201756E-1,1.221042871E-1,9.912294388E0,9.915937248E0
5.515885860E-1,-2.753331959E-1,1.675941199E-1,9.924264908E0,9.929497979E0
5.536020860E-1,-3.160346150E-1,1.939303428E-1,9.917082787E0,9.924012185E0
5.556157520E-1,-2.585737705E-1,1.819593310E-1,9.873987198E0,9.879048172E0
5.576297520E-1,-1.987187415E-1,1.771709323E-1,9.842862129E0,9.846461982E0
5.596437520E-1,-1.029506698E-1,1.149216816E-1,9.773430824E0,9.774648634E0
5.616577520E-1,-2.873042040E-2,-7.182604820E-2,9.663297653E0,9.663607295E0
5.636717520E-1,-2.394201700E-3,-1.580173075E-1,9.589076996E0,9.590379181E0
5.656856270E-1,3.830722719E-2,-1.364694983E-1,9.598653793E0,9.599700308E0
5.676992930E-1,1.316810995E-1,-9.576806799E-3,9.651326180E0,9.652229206E0
5.697130930E-1,1.532289088E-1,9.337386489E-2,9.658509254E0,9.660175919E0
5.717269110E-1,1.316810995E-1,1.173158810E-1,9.648932457E0,9.650544051E0
5.737406610E-1,7.422025502E-2,1.029506698E-1,9.562741280E0,9.563583443E0
5.757543530E-1,7.422025502E-2,2.633621916E-2,9.514857292E0,9.515183211E0
5.777679950E-1,7.422025502E-2,-7.182605099E-3,9.517251015E0,9.517543124E0
5.797815950E-1,4.788403213E-2,-1.149216816E-1,9.526827812E0,9.527641263E0
5.817952200E-1,6.703764945E-2,-1.675941199E-1,9.593865395E0,9.595563300E0
5.838088080E-1,1.197100878E-1,-2.394201607E-2,9.761459351E0,9.762222717E0
5.858223080E-1,1.340752989E-1,7.900865376E-2,9.871592522E0,9.872819125E0
5.878357290E-1,5.267243832E-2,2.130839527E-1,1.007509995E1,1.007749066E1
5.898491290E-1,-9.337386489E-2,1.723825186E-1,1.013734913E1,1.013924464E1
5.918694620E-1,-1.484405100E-1,1.149216816E-1,1.011340714E1,1.011514930E1
5.938895520E-1,-2.346317619E-1,7.422025502E-2,1.001045704E1,1.001348145E1
5.959092910E-1,-2.370259613E-1,8.379705995E-2,9.876380920E0,9.879580120E0
5.979287910E-1,-1.699883193E-1,1.125274822E-1,9.756670952E0,9.758800466E0
5.999480310E-1,-1.197100878E-1,1.149216816E-1,9.699210167E0,9.700629637E0
6.019670310E-1,4.788403399E-3,1.125274822E-1,9.634567261E0,9.635225564E0
6.039858080E-1,9.337386489E-2,8.379705995E-2,9.596260071E0,9.597080180E0
6.060043790E-1,1.221042871E-1,6.703764945E-2,9.572318077E0,9.573331545E0
6.080227920E-1,1.412578970E-1,4.309562966E-2,9.565135002E0,9.566275066E0
6.100410580E-1,1.604115069E-1,4.788403399E-3,9.596260071E0,9.597601895E0
6.120594240E-1,1.795651317E-1,2.154781483E-2,9.634567261E0,9.636264538E0
6.140777900E-1,1.963245422E-1,1.149216816E-1,9.809343338E0,9.811980791E0
6.160961560E-1,1.651999205E-1,1.987187415E-1,1.003918743E1,1.004251285E1
6.181144890E-1,1.077390760E-1,2.154781520E-1,1.019720459E1,1.020005000E1
6.201328220E-1,5.985504389E-2,1.651999205E-1,1.021396351E1,1.021547474E1
6.221511550E-1,-7.182605099E-3,1.197100803E-2,1.015410900E1,1.015411860E1
6.241694550E-1,-9.097966552E-2,-1.364694983E-1,9.976937294E0,9.978285373E0
6.261877210E-1,-1.412578970E-1,-1.675941199E-1,9.888352394E0,9.890781296E0
6.282060870E-1,-1.915361285E-1,-1.101332754E-1,9.809343338E0,9.811831233E0
6.302243870E-1,-1.915361285E-1,3.351882473E-2,9.876380920E0,9.878294877E0
6.322426870E-1,-1.843535304E-1,9.816227108E-2,1.002003384E1,1.002221034E1
6.342610530E-1,-1.819593310E-1,8.379705995E-2,1.008946514E1,1.009145371E1
6.362794860E-1,-1.460463107E-1,2.873042040E-2,1.022593498E1,1.022701820E1
6.382979860E-1,-8.619125932E-2,5.027823523E-2,1.034085655E1,1.034133797E1
6.403165190E-1,-7.182604820E-2,8.619125932E-2,1.040071106E1,1.040131619E1
