"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.649924430E-1,-4.692635238E-1,-9.337386489E-2,9.579500198E0,9.591441549E0
2.670054430E-1,-2.059013397E-1,-1.125274822E-1,9.349657059E0,9.352600970E0
2.690184430E-1,-1.149216816E-1,-7.422025502E-2,9.273042679E0,9.274051766E0
2.710309430E-1,3.591302410E-2,-5.027823523E-2,9.213187218E0,9.213394399E0
2.730436090E-1,1.795651317E-1,-1.675941236E-2,9.273042679E0,9.274796226E0
2.750563590E-1,2.298433632E-1,-1.675941236E-2,9.344868660E0,9.347709833E0
2.770693590E-1,2.801215947E-1,2.633621916E-2,9.567529678E0,9.571665782E0
2.790821920E-1,2.849099934E-1,7.182604820E-2,9.761459351E0,9.765880469E0
2.810953340E-1,2.657563984E-1,5.267243832E-2,9.790189743E0,9.793937720E0
2.831084590E-1,2.082955539E-1,4.548983276E-2,9.711181641E0,9.713521772E0
2.851216810E-1,6.943184882E-2,-9.097966552E-2,9.505280495E0,9.505969459E0
2.871348810E-1,-2.633621916E-2,-1.963245422E-1,9.249100685E0,9.251221563E0
2.891480620E-1,-7.422025502E-2,-2.130839527E-1,9.150938034E0,9.153719480E0
2.911612280E-1,-1.460463107E-1,-2.154781520E-1,9.047987938E0,9.051731662E0
2.931745350E-1,-2.537853718E-1,-1.364694983E-1,9.081506729E0,9.086077009E0
2.951878200E-1,-3.136404157E-1,-1.053448766E-1,9.131784439E0,9.137776255E0
2.972010860E-1,-4.453215301E-1,2.633621916E-2,9.292196274E0,9.302898282E0
3.001250860E-1,-5.434837937E-1,4.165911078E-1,9.639355659E0,9.663648396E0
3.021424430E-1,-6.488286853E-1,4.908113480E-1,9.715970039E0,9.749971705E0
3.041544430E-1,-7.278373241E-1,4.094084799E-1,9.706393242E0,9.742249855E0
3.061674430E-1,-7.015010715E-1,1.963245422E-1,9.524434090E0,9.552250615E0
3.081799430E-1,-6.248866320E-1,8.858546615E-2,9.433453560E0,9.454542652E0
3.101926090E-1,-3.734954596E-1,-1.675941236E-2,9.318531990E0,9.326029068E0
3.122053590E-1,-1.292868853E-1,3.591302410E-2,9.342473984E0,9.343437536E0
3.142181590E-1,-4.788403213E-2,2.633621916E-2,9.366415977E0,9.366575401E0
3.162311590E-1,9.337386489E-2,-7.182604820E-2,9.375992775E0,9.376732809E0
3.182443010E-1,1.747767180E-1,-9.816227108E-2,9.409511566E0,9.411646543E0
3.202574260E-1,1.987187415E-1,-1.125274822E-1,9.464578629E0,9.467333320E0
3.222705370E-1,2.226607651E-1,-1.173158810E-1,9.512462616E0,9.515791394E0
3.242835370E-1,3.543418646E-1,-9.576806426E-2,9.627384186E0,9.634378856E0
3.262962640E-1,4.620809257E-1,1.675941236E-2,9.804554939E0,9.815451962E0
3.283089300E-1,4.477157295E-1,1.101332754E-1,9.926659584E0,9.937361280E0
3.303216220E-1,2.896983922E-1,8.379705995E-2,1.007509995E1,1.007961239E1
3.323342640E-1,5.267243832E-2,-2.130839527E-1,1.005594635E1,1.005834162E1
3.343469300E-1,-5.746084079E-2,-3.040636182E-1,1.003439903E1,1.003916931E1
3.363596170E-1,-1.891419291E-1,-1.819593310E-1,1.012777233E1,1.013117250E1
3.383723220E-1,-1.675941199E-1,2.130839527E-1,1.040789413E1,1.041142415E1
3.403849880E-1,-1.651999205E-1,3.543418646E-1,1.052281570E1,1.053007595E1
3.423975660E-1,-2.178723514E-1,2.466027737E-1,1.040789413E1,1.041309472E1
3.444100660E-1,-3.591302633E-1,-1.292868853E-1,9.933841705E0,9.941171997E0
3.464300180E-1,-3.998316824E-1,-4.141969085E-1,9.364022255E0,9.381702257E0
3.484497450E-1,-3.567360640E-1,-4.070142806E-1,8.980949402E0,8.997242544E0
3.504692230E-1,-2.585737705E-1,-3.016694188E-1,8.894758224E0,8.903627840E0
3.524884730E-1,-1.891419291E-1,-2.394201700E-3,8.980949402E0,8.982941198E0
3.545074730E-1,-1.484405100E-1,2.346317619E-1,9.318531990E0,9.322667274E0
3.565262420E-1,-1.340752989E-1,3.399766386E-1,9.574711800E0,9.581683899E0
3.585447970E-1,-2.346317619E-1,3.974374831E-1,1.016129112E1,1.017176710E1
3.605631540E-1,-3.567360640E-1,2.489969730E-1,1.062816048E1,1.063706046E1
3.625812910E-1,-3.639186621E-1,1.436520964E-1,1.077660084E1,1.078370059E1
3.645992570E-1,-2.561795712E-1,1.436521020E-2,1.094898319E1,1.095198919E1
3.666172230E-1,3.591302410E-2,-3.351882473E-2,1.098489666E1,1.098500650E1
3.686352560E-1,5.554547906E-1,-8.379705995E-2,1.079096603E1,1.080557726E1
3.706532890E-1,7.829039693E-1,-7.422025502E-2,1.061140156E1,1.064050235E1
3.726713550E-1,9.385270476E-1,-9.097966552E-2,1.013974380E1,1.018349227E1
3.746894210E-1,9.552865028E-1,-1.388636976E-1,9.622595787E0,9.670894742E0
3.767074540E-1,9.313444495E-1,-1.771709323E-1,9.399934769E0,9.447622224E0
3.787254540E-1,7.182605267E-1,-3.280056417E-1,9.143755913E0,9.177786121E0
3.807433870E-1,3.303998411E-1,-3.543418646E-1,9.215581894E0,9.228308179E0
3.827613530E-1,1.939303428E-1,-3.591302633E-1,9.359233856E0,9.368129050E0
3.847793860E-1,1.316810995E-1,-2.920926213E-1,9.792584419E0,9.797824637E0
3.867975190E-1,1.244984865E-1,-2.082955539E-1,1.017565632E1,1.017854943E1
3.888156850E-1,1.340752989E-1,-5.027823523E-2,1.033127975E1,1.033227204E1
3.908338180E-1,1.747767180E-1,2.633621916E-2,1.036001015E1,1.036151778E1
3.928520180E-1,2.178723514E-1,4.070143029E-2,1.027381897E1,1.027620948E1
3.948702510E-1,6.224924326E-2,-4.548983276E-2,1.003200436E1,1.003230062E1
3.968884840E-1,-5.506663769E-2,-5.506663769E-2,9.883563995E0,9.883870796E0
3.989067170E-1,-1.723825186E-1,-1.436521020E-2,9.613018990E0,9.614575195E0
4.009249500E-1,-7.422025502E-2,5.506663769E-2,9.421483040E0,9.421936301E0
4.029432160E-1,-5.267243832E-2,5.746084079E-2,9.342473984E0,9.342799167E0
4.049614820E-1,-1.029506698E-1,-1.005564705E-1,9.146149635E0,9.147281760E0
4.069745150E-1,-1.101332754E-1,-3.232172430E-1,8.985737801E0,8.992223448E0
4.089874810E-1,-5.027823523E-2,-3.016694188E-1,9.038411140E0,9.043583819E0
4.110004140E-1,-2.633621916E-2,-1.340752989E-1,9.198822021E0,9.199836758E0
4.130132800E-1,-6.224924326E-2,2.944868207E-1,9.708786964E0,9.713451589E0
4.150261460E-1,-2.059013397E-1,4.884171486E-1,1.026184750E1,1.027552727E1
4.170389790E-1,-2.992752194E-1,4.764461517E-1,1.047014332E1,1.048525001E1
4.190518120E-1,-3.782838583E-1,3.088520169E-1,1.068083286E1,1.069199134E1
4.210645450E-1,-3.088520169E-1,1.460463107E-1,1.064731407E1,1.065279381E1
4.230772450E-1,-2.298433632E-1,8.140286058E-2,1.052999878E1,1.053282150E1
4.250899110E-1,-1.436521020E-2,-3.112462163E-2,1.009904194E1,1.009910012E1
4.271077770E-1,3.854664862E-1,-1.029506698E-1,9.505280495E0,9.513650221E0
4.291256100E-1,7.685387731E-1,1.197100803E-2,8.966584206E0,8.999468177E0
4.311434430E-1,8.379706144E-1,7.182604820E-2,8.739135742E0,8.779512928E0
4.331612760E-1,7.709329724E-1,1.101332754E-1,8.365639687E0,8.401808993E0
4.351790760E-1,7.038952708E-1,1.675941236E-2,8.159738541E0,8.190059980E0
4.371968760E-1,6.655880809E-1,-8.379705995E-2,8.174103737E0,8.201585294E0
4.392146760E-1,5.674257874E-1,7.900865376E-2,8.935460091E0,8.953807091E0
4.412325090E-1,4.979939461E-1,1.819593310E-1,9.361627579E0,9.376629357E0
4.432502750E-1,3.064578176E-1,2.920926213E-1,1.014692593E1,1.015575405E1
4.452679410E-1,2.466027737E-1,2.968810201E-1,1.041507626E1,1.042222456E1
