"event","experiment time","system time","system time text"
"START",0.000000000E0,1713807440.516,"2024-04-22 19:37:20.516 UTC+02:00"
"PAUSE",1.160108852E1,1713807452.117,"2024-04-22 19:37:32.117 UTC+02:00"
