"event","experiment time","system time","system time text"
"START",0.000000000E0,1713807299.451,"2024-04-22 19:34:59.451 UTC+02:00"
"PAUSE",1.410151566E1,1713807313.552,"2024-04-22 19:35:13.552 UTC+02:00"
