"event","experiment time","system time","system time text"
"START",0.000000000E0,1713806897.318,"2024-04-22 19:28:17.318 UTC+02:00"
"PAUSE",1.244870500E1,1713806909.767,"2024-04-22 19:28:29.767 UTC+02:00"
