"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,4.457019310E1,6.106351300E0,7.586031236E2,8.124000244E2,NaN,NaN,8.246045818E-2,1.356000061E2,4.160250092E1,0.000000000E0
3.131863984E0,4.456975016E1,6.105516404E0,7.612044800E2,8.150000000E2,3.829999924E0,5.420000076E1,8.748274299E-2,9.500000000E0,1.100000000E1,2.300000000E1
3.427767773E0,4.456978302E1,6.105559906E0,7.572044141E2,8.110000000E2,4.150000095E0,5.679999924E1,9.310152047E-2,1.050000000E1,1.200000000E1,2.600000000E1
5.148942187E0,4.456980775E1,6.105621764E0,7.512043069E2,8.050000000E2,5.879999638E0,5.329999924E1,1.000948270E-1,7.500000000E0,8.000000000E0,2.900000000E1
6.146043242E0,4.456983490E1,6.105701393E0,7.512041660E2,8.050000000E2,8.000000000E0,5.650000000E1,1.100350108E-1,5.000000000E0,6.000000000E0,3.100000000E1
7.140665117E0,4.456989429E1,6.105795186E0,7.512040168E2,8.050000000E2,8.769999504E0,5.750000000E1,1.190581575E-1,4.000000000E0,5.000000000E0,3.100000000E1
8.140301640E0,4.456993637E1,6.105892584E0,7.522038498E2,8.060000000E2,9.369999886E0,5.679999924E1,1.291144097E-1,3.500000000E0,4.000000000E0,3.100000000E1
9.139252344E0,4.456999068E1,6.105994089E0,7.532036822E2,8.070000000E2,9.880000114E0,5.579999924E1,1.386899450E-1,3.500000000E0,4.000000000E0,3.200000000E1
1.013943031E1,4.457003959E1,6.106093582E0,7.542035153E2,8.080000000E2,8.269999504E0,5.550000000E1,1.443333980E-1,3.000000000E0,4.000000000E0,3.100000000E1
1.114404934E1,4.457006956E1,6.106151082E0,7.542034199E2,8.080000000E2,5.150000095E0,5.529999924E1,1.478942331E-1,2.500000000E0,3.000000000E0,3.100000000E1
1.217147738E1,4.457009160E1,6.106183687E0,7.542033688E2,8.080000000E2,3.240000010E0,5.520000076E1,1.492726799E-1,2.500000000E0,3.000000000E0,3.100000000E1
1.314207336E1,4.457010011E1,6.106196344E0,7.552033490E2,8.090000000E2,6.599999666E-1,5.479999924E1,1.493785868E-1,2.500000000E0,3.000000000E0,3.000000000E1
1.414746410E1,4.457009919E1,6.106196009E0,7.542033491E2,8.080000000E2,5.899999738E-1,5.440000153E1,1.495132274E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.514874340E1,4.457009801E1,6.106196428E0,7.552033475E2,8.090000000E2,1.199999973E-1,5.440000153E1,NaN,3.000000000E0,3.000000000E0,2.700000000E1
