"event","experiment time","system time","system time text"
"START",0.000000000E0,1713808429.695,"2024-04-22 19:53:49.695 UTC+02:00"
"PAUSE",1.968177551E1,1713808449.377,"2024-04-22 19:54:09.377 UTC+02:00"
