"event","experiment time","system time","system time text"
"START",0.000000000E0,1713807628.750,"2024-04-22 19:40:28.750 UTC+02:00"
"PAUSE",1.174973781E1,1713807640.499,"2024-04-22 19:40:40.499 UTC+02:00"
