"event","experiment time","system time","system time text"
"START",0.000000000E0,1713806733.271,"2024-04-22 19:25:33.271 UTC+02:00"
"PAUSE",1.479977168E1,1713806748.070,"2024-04-22 19:25:48.070 UTC+02:00"
