"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.446418190E-1,4.457020120E1,6.106375300E0,7.586030811E2,8.124000244E2,NaN,NaN,1.727652384E-2,5.609999847E1,8.217778206E0,0.000000000E0
1.780278086E0,4.457019692E1,6.106157284E0,7.532034853E2,8.070000000E2,8.999999762E-1,0.000000000E0,2.615507326E-2,2.450000000E1,2.500000000E1,1.000000000E1
2.527097930E0,4.457016293E1,6.106055863E0,7.492036652E2,8.030000000E2,3.579999924E0,0.000000000E0,3.263522559E-2,1.950000000E1,2.500000000E1,1.600000000E1
3.515239609E0,4.457013594E1,6.105983360E0,7.562037922E2,8.100000000E2,8.699999809E0,2.466000061E2,4.208889111E-2,1.500000000E1,2.100000000E1,1.900000000E1
4.527766953E0,4.457008854E1,6.105884286E0,7.572039592E2,8.110000000E2,1.184000015E1,2.370000000E2,5.331161348E-2,1.050000000E1,1.300000000E1,2.500000000E1
5.530331484E0,4.457004655E1,6.105755456E0,7.512041884E2,8.050000000E2,1.167000008E1,2.373000031E2,6.411368344E-2,8.000000000E0,1.000000000E1,2.600000000E1
6.538165156E0,4.456999043E1,6.105644144E0,7.512043743E2,8.050000000E2,1.086999989E1,2.343999939E2,7.402759800E-2,7.000000000E0,8.000000000E0,2.400000000E1
7.520852578E0,4.456994194E1,6.105539119E0,7.512045524E2,8.050000000E2,1.073999977E1,2.325000000E2,8.481381934E-2,5.500000000E0,7.000000000E0,2.800000000E1
8.538921211E0,4.456987610E1,6.105439123E0,7.512047099E2,8.050000000E2,1.082999992E1,2.326000061E2,9.247443547E-2,4.500000000E0,6.000000000E0,2.900000000E1
9.529645156E0,4.456983549E1,6.105361003E0,7.512048395E2,8.050000000E2,6.460000038E0,2.335000000E2,9.415712925E-2,4.000000000E0,5.000000000E0,2.800000000E1
1.053230375E1,4.456983461E1,6.105339797E0,7.502048809E2,8.040000000E2,2.309999943E0,1.788999939E2,9.635821732E-2,4.000000000E0,5.000000000E0,2.900000000E1
1.153362258E1,4.456984593E1,6.105362596E0,7.512048428E2,8.050000000E2,2.230000019E0,8.309999847E1,NaN,4.000000000E0,5.000000000E0,2.800000000E1
