"event","experiment time","system time","system time text"
"START",0.000000000E0,1713806946.588,"2024-04-22 19:29:06.588 UTC+02:00"
"PAUSE",1.373298555E1,1713806960.321,"2024-04-22 19:29:20.321 UTC+02:00"
