"event","experiment time","system time","system time text"
"START",0.000000000E0,1713808529.423,"2024-04-22 19:55:29.423 UTC+02:00"
"PAUSE",1.176674883E1,1713808541.190,"2024-04-22 19:55:41.190 UTC+02:00"
