"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.683210850E-1,-8.427590132E-1,2.154781520E-1,1.027381897E1,1.031057854E1
2.703340850E-1,-9.648633003E-1,4.141969085E-1,9.232340813E0,9.291858649E0
2.732550850E-1,-9.792284966E-1,5.363011956E-1,8.200440407E0,8.276093903E0
2.752710850E-1,-9.193734527E-1,4.979939461E-1,7.585130215E0,7.656856136E0
2.772820850E-1,-7.565677166E-1,1.939303428E-1,7.676109791E0,7.715741391E0
2.792940850E-1,-6.416460276E-1,-1.436520964E-1,8.545205116E0,8.570465333E0
2.813065850E-1,-3.327940404E-1,-2.202665508E-1,9.191639900E0,9.200299630E0
2.833189180E-1,3.112462163E-2,-5.267243832E-2,1.040310574E1,1.040328564E1
2.853319180E-1,2.992752194E-1,2.801215947E-1,1.107587624E1,1.108345921E1
2.873449180E-1,3.399766386E-1,3.615244627E-1,1.107587624E1,1.108698870E1
2.893579180E-1,1.388636976E-1,3.734954596E-1,1.042225933E1,1.042987399E1
2.913709180E-1,-2.633621991E-1,3.758896589E-1,9.409511566E0,9.420698520E0
2.933841680E-1,-4.453215301E-1,3.734954596E-1,8.966584206E0,8.985401629E0
2.953973900E-1,-6.224924326E-1,2.298433632E-1,8.432677269E0,8.458745222E0
2.974106900E-1,-5.746083856E-1,-3.351882473E-2,8.413523674E0,8.433189131E0
2.994240530E-1,-4.094084799E-1,-1.675941199E-1,8.822932243E0,8.834015874E0
3.014374690E-1,-3.351882398E-1,-1.484405100E-1,9.143755913E0,9.151101460E0
3.034509300E-1,-2.322375625E-1,-3.591302410E-2,9.830891609E0,9.833699907E0
3.054644300E-1,-2.705447972E-1,6.464344263E-2,1.035282707E1,1.035656322E1
3.074779630E-1,-3.351882398E-1,7.422025502E-2,1.053239250E1,1.053798613E1
3.094915250E-1,-4.908113480E-1,1.125274822E-1,1.075265884E1,1.076444288E1
3.115051130E-1,-5.937620401E-1,5.267243832E-2,1.088912868E1,1.090543219E1
3.135185570E-1,-6.081272364E-1,-1.197100803E-2,1.089152241E1,1.090849313E1
3.155319250E-1,-5.530605912E-1,-1.699883193E-1,1.075265884E1,1.076821453E1
3.175452750E-1,-4.405331016E-1,-1.867477298E-1,1.046056652E1,1.047150400E1
3.195596550E-1,-3.734954596E-1,-9.576806426E-2,1.006312943E1,1.007051360E1
3.215730640E-1,-3.351882398E-1,-2.633621916E-2,9.869198799E0,9.874924288E0
3.235864550E-1,-2.992752194E-1,8.858546615E-2,9.524434090E0,9.529546567E0
3.255998710E-1,-3.112462163E-1,1.388636976E-1,9.282619476E0,9.288874080E0
3.276133110E-1,-3.423708379E-1,1.556231081E-1,9.234735489E0,9.242390161E0
3.296267720E-1,-3.830722570E-1,2.082955539E-1,9.299378395E0,9.309595583E0
3.316402900E-1,-4.453215301E-1,1.723825186E-1,9.402329445E0,9.414447726E0
3.336538610E-1,-5.003881454E-1,1.197100878E-1,9.440636635E0,9.454646417E0
3.356674810E-1,-6.129156351E-1,5.506663769E-2,9.524434090E0,9.544293721E0
3.376810810E-1,-6.464344859E-1,8.140286058E-2,9.613018990E0,9.635073329E0
3.396947470E-1,-6.153098345E-1,1.484405100E-1,9.725546837E0,9.746122411E0
3.417084470E-1,-5.698199868E-1,1.532289088E-1,9.775824547E0,9.793616262E0
3.437221800E-1,-4.094084799E-1,1.604115069E-1,9.775824547E0,9.785708596E0
3.457358800E-1,-2.202665508E-1,1.604115069E-1,9.718363762E0,9.722183058E0
