"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.623263960E-1,-1.340752959E0,-1.352723956E0,1.029297256E1,1.046770103E1
2.643373960E-1,-1.048660398E0,-1.582567334E0,1.006073475E1,1.023829047E1
2.671853960E-1,-6.009446383E-1,-1.733402014E0,9.730335236E0,9.901779678E0
2.696158960E-1,-1.340752989E-1,-1.726219416E0,9.440636635E0,9.598095109E0
2.719068960E-1,2.489969730E-1,-1.493981838E0,9.275436401E0,9.398281846E0
2.741283960E-1,5.243301988E-1,-1.120486379E0,9.244312286E0,9.326720835E0
2.763077960E-1,5.961562395E-1,-9.481038451E-1,9.261071205E0,9.328544529E0
2.784591290E-1,6.248866320E-1,-6.919242740E-1,9.311349869E0,9.357909963E0
2.805902710E-1,4.237737060E-1,-7.422025204E-1,9.289801598E0,9.329033308E0
2.827063960E-1,2.513911724E-1,-8.810662031E-1,9.249100685E0,9.294371343E0
2.848108400E-1,-1.340752989E-1,-1.180341482E0,9.167697906E0,9.244342438E0
2.869059400E-1,-4.812345505E-1,-1.283292055E0,9.215581894E0,9.316940208E0
2.889933940E-1,-6.224924326E-1,-1.132457376E0,9.320926666E0,9.410081320E0
2.910743940E-1,-8.379706144E-1,-1.019929886E0,9.658509254E0,9.748294863E0
2.931500090E-1,-9.145850539E-1,-9.313444495E-1,1.001763916E1,1.010232462E1
2.952209370E-1,-8.762778044E-1,-1.101332784E0,1.024748230E1,1.034367875E1
2.972878700E-1,-8.403648138E-1,-1.213860273E0,1.031212616E1,1.041727487E1
2.993513070E-1,-7.613561153E-1,-1.400607944E0,1.035761547E1,1.047957843E1
3.014116590E-1,-7.302315235E-1,-1.460463047E0,1.033606815E1,1.046424843E1
3.034692700E-1,-7.230489254E-1,-1.383848548E0,1.033367348E1,1.045096379E1
3.055244270E-1,-7.182605267E-1,-1.158793569E0,1.030733776E1,1.039711077E1
3.075774270E-1,-7.374141216E-1,-1.192312479E0,1.016368580E1,1.025991704E1
3.096283790E-1,-7.541735172E-1,-1.307234168E0,1.003679276E1,1.014962303E1
3.116774690E-1,-7.781155705E-1,-1.572990537E0,9.682451248E0,9.840204533E0
3.137249030E-1,-6.943184733E-1,-1.716642618E0,9.373599052E0,9.554752703E0
3.157733190E-1,-4.836287498E-1,-1.525106430E0,9.244312286E0,9.381745895E0
3.178202390E-1,-3.423708379E-1,-1.328781962E0,9.241917610E0,9.343228586E0
3.198658150E-1,-5.746084079E-2,-1.051054597E0,9.251494408E0,9.311185010E0
3.219100740E-1,2.418143749E-1,-1.144428372E0,9.081506729E0,9.156525267E0
3.239531810E-1,3.687070608E-1,-1.290474772E0,8.947430611E0,9.047529197E0
3.259952150E-1,5.075707436E-1,-1.563413739E0,8.624214172E0,8.779462436E0
3.280362150E-1,4.740519226E-1,-1.675941229E0,8.384793282E0,8.563776188E0
3.300493480E-1,3.112462163E-1,-1.592144132E0,8.418312073E0,8.573200995E0
3.320624140E-1,2.035071403E-1,-1.472434044E0,8.538022995E0,8.666447590E0
3.340754470E-1,-4.788403213E-2,-1.118092179E0,9.028834343E0,9.097926829E0
3.360884470E-1,-3.232172430E-1,-7.900865674E-1,9.735123634E0,9.772478618E0
3.381014800E-1,-4.357447028E-1,-6.440402865E-1,1.011819553E1,1.014803144E1
3.401145460E-1,-5.458779931E-1,-4.668693244E-1,1.082448483E1,1.084829118E1
3.421276790E-1,-5.051765442E-1,-4.788403511E-1,1.128177738E1,1.130322929E1
3.441408450E-1,-4.357447028E-1,-5.793967843E-1,1.135599804E1,1.137911532E1
3.461540450E-1,-2.370259613E-1,-9.864110947E-1,1.115009689E1,1.119615331E1
3.481673110E-1,-4.788403399E-3,-1.369483352E0,1.057309437E1,1.066141792E1
3.501805440E-1,1.675941199E-1,-1.479616642E0,9.952995300E0,1.006377010E1
3.521938100E-1,2.035071403E-1,-1.436521053E0,9.670479774E0,9.778710905E0
3.542070760E-1,1.628057212E-1,-1.132457376E0,9.256282806E0,9.326721654E0
3.562204090E-1,-4.788403399E-3,-8.188169599E-1,9.095871925E0,9.132654062E0
3.582337750E-1,-9.576806426E-2,-7.517793179E-1,9.100660324E0,9.132160861E0
3.602471750E-1,-2.657563984E-1,-8.858546019E-1,9.186851501E0,9.233287895E0
3.622606080E-1,-4.908113480E-1,-1.273715258E0,9.347262383E0,9.446404627E0
3.642740410E-1,-5.961562395E-1,-1.474828243E0,9.428665161E0,9.561916509E0
3.662874740E-1,-7.972691655E-1,-1.651999116E0,9.627384186E0,9.800574752E0
3.683009070E-1,-9.050082564E-1,-1.446097851E0,9.948206902E0,1.009341664E1
3.703144070E-1,-8.547300100E-1,-1.120486379E0,1.030494308E1,1.040086079E1
3.723279730E-1,-7.900865674E-1,-1.051054597E0,1.041507626E1,1.049775052E1
3.743415390E-1,-5.913678408E-1,-1.063025594E0,1.042225933E1,1.049300857E1
3.763531050E-1,-2.801215947E-1,-1.271321058E0,1.009664822E1,1.018022743E1
3.783646710E-1,-9.097966552E-2,-1.362300754E0,9.864410400E0,9.958450341E0
3.803762710E-1,2.825157940E-1,-1.417367458E0,9.383175850E0,9.493826137E0
3.823879370E-1,5.674257874E-1,-1.391031146E0,8.945036888E0,9.070315574E0
3.843996030E-1,6.464344859E-1,-1.379060149E0,8.784625053E0,8.915678424E0
3.864112030E-1,6.703764796E-1,-1.321599364E0,8.609848976E0,8.736448300E0
3.884228030E-1,5.410895944E-1,-1.307234168E0,8.672098160E0,8.786747158E0
3.904343360E-1,2.537853718E-1,-1.194706678E0,9.019257545E0,9.101578859E0
3.924458360E-1,6.464344263E-2,-1.084573388E0,9.277831078E0,9.341232666E0
3.944573360E-1,-3.136404157E-1,-8.212111592E-1,9.864410400E0,9.903501937E0
3.964737690E-1,-6.200982332E-1,-5.937620401E-1,1.044141293E1,1.047664923E1
3.984902690E-1,-7.422025204E-1,-5.650315881E-1,1.087715721E1,1.091708177E1
4.005067690E-1,-9.193734527E-1,-6.727706790E-1,1.097771454E1,1.103666999E1
4.025233020E-1,-1.022324085E0,-1.113303781E0,1.087715721E1,1.098167295E1
4.045399020E-1,-1.060631394E0,-1.551442742E0,1.046296024E1,1.063040218E1
4.065565020E-1,-1.039083481E0,-1.637633920E0,1.022114658E1,1.040352713E1
4.085731020E-1,-8.571242094E-1,-1.558625340E0,9.790189743E0,9.950466827E0
4.105897680E-1,-5.363011956E-1,-1.419761658E0,9.455001831E0,9.576032673E0
4.126064340E-1,-3.639186621E-1,-1.374271750E0,9.332897186E0,9.440552395E0
4.146231340E-1,-7.661445439E-2,-1.283292055E0,9.174880028E0,9.264509258E0
4.166398670E-1,8.140286058E-2,-1.165976286E0,9.184456825E0,9.258529813E0
4.186566330E-1,1.221042871E-1,-1.189918280E0,9.294589996E0,9.371244217E0
4.206733990E-1,1.125274822E-1,-1.247379065E0,9.375992775E0,9.459273623E0
4.226901650E-1,6.224924326E-2,-1.374271750E0,9.586683273E0,9.684884821E0
4.247069310E-1,1.197100803E-2,-1.419761658E0,9.828496933E0,9.930519545E0
4.267237310E-1,-2.394201700E-3,-1.381454349E0,9.986514091E0,1.008161126E1
4.287405310E-1,-1.675941236E-2,-1.259350061E0,1.030973148E1,1.038637601E1
4.316625310E-1,-7.661445439E-2,-1.240196466E0,1.053718090E1,1.061019031E1
4.319625310E-1,-1.292868853E-1,-1.192312479E0,1.059224796E1,1.065992688E1
4.339735310E-1,-1.292868853E-1,-1.130063176E0,1.055633450E1,1.061743641E1
4.359855310E-1,-6.703764945E-2,-1.084573388E0,1.050366211E1,1.055972117E1
4.379980310E-1,-1.436521020E-2,-1.134851575E0,1.041986465E1,1.048149197E1
4.400103640E-1,6.464344263E-2,-1.381454349E0,1.011819553E1,1.021227084E1
4.420226140E-1,8.619125932E-2,-1.407790542E0,9.823708534E0,9.924442176E0
4.440352140E-1,5.746084079E-2,-1.312022567E0,9.742305756E0,9.830423511E0
4.460477140E-1,-6.943184882E-2,-9.888052940E-1,9.706393242E0,9.756875855E0
4.480602850E-1,-2.992752194E-1,-7.589619160E-1,9.761459351E0,9.795492713E0
4.500729100E-1,-4.548983276E-1,-7.757213712E-1,9.759065628E0,9.800410097E0
4.520855760E-1,-7.757213712E-1,-1.063025594E0,9.692028046E0,9.780959804E0
4.540981760E-1,-1.034295082E0,-1.405396342E0,9.605836868E0,9.763042924E0
4.561107210E-1,-1.197100878E0,-1.596932530E0,9.622595787E0,9.827389974E0
4.581233870E-1,-1.244984865E0,-1.582567334E0,9.696816444E0,9.903673856E0
4.601360020E-1,-1.204283476E0,-1.505952835E0,9.900322914E0,1.008635645E1
4.621486440E-1,-9.026140571E-1,-1.309628367E0,1.013016701E1,1.025427336E1
4.641613100E-1,-6.847416759E-1,-1.211466074E0,1.025945377E1,1.035340103E1
4.661740600E-1,-2.298433632E-1,-1.067813993E0,1.044141293E1,1.049838838E1
4.681867650E-1,1.747767180E-1,-9.864110947E-1,1.048690319E1,1.053464248E1
4.701994310E-1,3.327940404E-1,-9.864110947E-1,1.044380665E1,1.049556364E1
4.722120090E-1,5.363011956E-1,-1.015141487E0,1.021635818E1,1.028066660E1
4.742245590E-1,6.105214357E-1,-1.187524080E0,9.835680008E0,9.925903036E0
4.762387970E-1,6.272808313E-1,-1.498770237E0,9.371204376E0,9.511007566E0
4.782512510E-1,6.631938815E-1,-1.616086125E0,9.153332710E0,9.318533157E0
4.802636420E-1,7.613561153E-1,-1.625662923E0,8.861239433E0,9.041239261E0
4.822760170E-1,8.475474119E-1,-1.474828243E0,8.822932243E0,8.985409748E0
4.842883770E-1,8.379706144E-1,-1.412579060E0,8.892364502E0,9.042771742E0
4.863006840E-1,7.852981687E-1,-1.328781962E0,9.146149635E0,9.275473458E0
4.883129800E-1,6.895300746E-1,-1.309628367E0,9.529222488E0,9.643477558E0
4.903252650E-1,6.105214357E-1,-1.201889277E0,9.984120369E0,1.007471755E1
4.923375400E-1,3.687070608E-1,-1.053448796E0,1.025705910E1,1.031760440E1
4.943498060E-1,2.394201700E-3,-7.398083210E-1,1.077181244E1,1.079718784E1
4.963620720E-1,-4.094084799E-1,-7.493851185E-1,1.102559853E1,1.105861728E1
4.983743720E-1,-6.105214357E-1,-8.954314590E-1,1.101362705E1,1.106682045E1
5.003867380E-1,-1.003170490E0,-1.347935557E0,1.072632313E1,1.085713080E1
5.023991040E-1,-1.302445769E0,-1.637633920E0,1.031691456E1,1.052696233E1
5.044114040E-1,-1.386242747E0,-1.649604917E0,1.014932060E1,1.037552765E1
5.064237040E-1,-1.388636947E0,-1.470039845E0,9.933841705E0,1.013758062E1
5.084359700E-1,-1.168370485E0,-1.213860273E0,9.852438927E0,9.995453925E0
5.104760360E-1,-7.781155705E-1,-1.034295082E0,9.778219223E0,9.863508571E0
5.125161020E-1,-3.567360640E-1,-1.029506683E0,9.603442192E0,9.665052849E0
5.145561680E-1,-1.675941236E-2,-1.156399369E0,9.364022255E0,9.435171073E0
5.165962680E-1,1.029506698E-1,-1.170764685E0,9.292196274E0,9.366226582E0
5.186363340E-1,2.322375625E-1,-1.086967587E0,9.316138268E0,9.382210030E0
5.206764000E-1,1.843535304E-1,-8.451532125E-1,9.529222488E0,9.568403807E0
5.227165000E-1,1.460463107E-1,-6.009446383E-1,9.689633369E0,9.709349042E0
5.247565330E-1,9.576806426E-2,-1.843535304E-1,9.914688110E0,9.916864327E0
5.267964660E-1,5.506663769E-2,-4.548983276E-1,9.684844971E0,9.695678776E0
