"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.652288000E-3,-1.795651317E-1,-7.517793179E-1,9.873987198E0,9.904192999E0
7.663288000E-3,-1.771709323E-1,-7.613561153E-1,9.802161217E0,9.833281100E0
9.676288000E-3,-1.771709323E-1,-7.637503147E-1,9.756670952E0,9.788121993E0
1.168828800E-2,-1.604115069E-1,-7.685387731E-1,9.732728958E0,9.764343125E0
1.370095400E-2,-1.532289088E-1,-7.829039693E-1,9.725546837E0,9.758210850E0
1.571320400E-2,-1.197100878E-1,-7.733271718E-1,9.747094154E0,9.778456416E0
1.772540400E-2,-9.816227108E-2,-7.589619160E-1,9.771036148E0,9.800959465E0
1.973773700E-2,-5.027823523E-2,-7.541735172E-1,9.816526413E0,9.845582584E0
2.175002200E-2,-2.394201607E-2,-7.709329724E-1,9.833285332E0,9.863488799E0
2.376227200E-2,-1.675941236E-2,-7.733271718E-1,9.840468407E0,9.870822370E0
2.577449400E-2,-4.788403213E-2,-7.613561153E-1,9.833285332E0,9.862832069E0
2.869949400E-2,-4.788403213E-2,-7.350199223E-1,9.775824547E0,9.803534706E0
3.071028800E-2,-4.309562966E-2,-7.278373241E-1,9.747094154E0,9.774326005E0
3.272328800E-2,-6.464344263E-2,-7.278373241E-1,9.689633369E0,9.717145712E0
3.473528800E-2,-9.337386489E-2,-6.943184733E-1,9.624990463E0,9.650452748E0
3.674778800E-2,-7.422025502E-2,-7.015010715E-1,9.605836868E0,9.631703605E0
3.875978800E-2,-6.224924326E-2,-7.254431248E-1,9.581894875E0,9.609518827E0
4.077153800E-2,-5.027823523E-2,-7.469909191E-1,9.577106476E0,9.606325613E0
4.278313800E-2,-4.548983276E-2,-7.422025204E-1,9.627384186E0,9.656058211E0
4.479463800E-2,-4.548983276E-2,-7.422025204E-1,9.668086052E0,9.696639718E0
4.680620900E-2,-5.267243832E-2,-7.445967197E-1,9.747094154E0,9.775635177E0
4.881795900E-2,-7.182604820E-2,-7.589619160E-1,9.799766541E0,9.829374671E0
5.082984700E-2,-7.900865376E-2,-7.733271718E-1,9.823708534E0,9.854416606E0
5.284184700E-2,-1.077390760E-1,-7.852981687E-1,9.826103210E0,9.858022379E0
5.485384700E-2,-1.173158810E-1,-7.709329724E-1,9.811738014E0,9.842677660E0
5.686584700E-2,-1.197100878E-1,-7.541735172E-1,9.794978142E0,9.824698723E0
5.887784700E-2,-1.149216816E-1,-7.230489254E-1,9.744700432E0,9.772164205E0
6.088984700E-2,-1.101332754E-1,-7.302315235E-1,9.694421768E0,9.722508978E0
6.290178000E-2,-9.337386489E-2,-7.302315235E-1,9.660902977E0,9.688911347E0
6.491378000E-2,-1.005564705E-1,-7.374141216E-1,9.648932457E0,9.677592095E0
6.692583800E-2,-1.029506698E-1,-7.613561153E-1,9.665691376E0,9.696177172E0
6.893783800E-2,-9.816227108E-2,-7.829039693E-1,9.723152161E0,9.755114679E0
7.094983800E-2,-9.097966552E-2,-7.876923680E-1,9.768642426E0,9.800770960E0
7.296183800E-2,-9.097966552E-2,-7.852981687E-1,9.850045204E0,9.881718527E0
7.498088500E-2,-7.900865376E-2,-7.948749661E-1,9.952995300E0,9.984997948E0
7.699970300E-2,-8.858546615E-2,-7.900865674E-1,1.003200436E1,1.006345843E1
7.901826800E-2,-8.379705995E-2,-7.876923680E-1,1.005594635E1,1.008709761E1
