"event","experiment time","system time","system time text"
"START",0.000000000E0,1713808203.074,"2024-04-22 19:50:03.074 UTC+02:00"
"PAUSE",2.821793379E1,1713808231.292,"2024-04-22 19:50:31.292 UTC+02:00"
