"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.648108820E-1,-5.027823523E-2,-7.134721279E-1,9.871592522E0,9.897469843E0
2.668248820E-1,-8.140286058E-2,-7.350199223E-1,9.955389977E0,9.982818755E0
2.688378820E-1,-1.077390760E-1,-7.302315235E-1,9.976937294E0,1.000420529E1
2.708508820E-1,-1.197100878E-1,-7.398083210E-1,9.972148895E0,1.000027002E1
2.728638820E-1,-1.460463107E-1,-7.326257229E-1,9.919476509E0,9.947566747E0
2.748771320E-1,-1.460463107E-1,-7.517793179E-1,9.852438927E0,9.882158391E0
2.768903320E-1,-1.412578970E-1,-7.709329724E-1,9.809343338E0,9.840605071E0
2.789033320E-1,-1.412578970E-1,-7.829039693E-1,9.768642426E0,9.800982974E0
2.809161890E-1,-1.244984865E-1,-7.900865674E-1,9.737517357E0,9.770311199E0
2.829291890E-1,-1.197100878E-1,-7.805097699E-1,9.725546837E0,9.757550271E0
2.849420770E-1,-1.101332754E-1,-7.805097699E-1,9.720758438E0,9.752664736E0
2.869549770E-1,-6.703764945E-2,-7.924807668E-1,9.727940559E0,9.760396884E0
2.889677950E-1,-4.070143029E-2,-7.781155705E-1,9.751882553E0,9.782961401E0
2.909806280E-1,-3.112462163E-2,-7.589619160E-1,9.766247749E0,9.795743312E0
2.929933970E-1,-1.197100803E-2,-7.422025204E-1,9.821314812E0,9.849326501E0
2.950061110E-1,-5.027823523E-2,-7.206547260E-1,9.873987198E0,9.900378494E0
2.970187110E-1,-7.422025502E-2,-7.062895298E-1,9.878775597E0,9.904269828E0
2.990311480E-1,-1.292868853E-1,-7.015010715E-1,9.859622002E0,9.885391488E0
3.010435590E-1,-1.747767180E-1,-6.943184733E-1,9.775824547E0,9.802008499E0
3.030559470E-1,-1.508347094E-1,-6.919242740E-1,9.665691376E0,9.691599459E0
3.050868410E-1,-1.149216816E-1,-6.871358752E-1,9.572318077E0,9.597637005E0
3.071168910E-1,-1.125274822E-1,-6.919242740E-1,9.529222488E0,9.554972678E0
3.091460810E-1,-9.337386489E-2,-7.134721279E-1,9.481337547E0,9.508602570E0
3.111744440E-1,-8.140286058E-2,-7.254431248E-1,9.483732224E0,9.511785902E0
3.132020520E-1,-5.746084079E-2,-7.278373241E-1,9.505280495E0,9.533278880E0
3.152290100E-1,-3.112462163E-2,-7.254431248E-1,9.586683273E0,9.614142325E0
3.172553300E-1,-3.112462163E-2,-7.302315235E-1,9.687239647E0,9.714773224E0
3.192810990E-1,-3.351882473E-2,-7.422025204E-1,9.739912033E0,9.768207333E0
3.213062840E-1,-3.830722719E-2,-7.493851185E-1,9.847650528E0,9.876196961E0
3.233309980E-1,-3.351882473E-2,-7.613561153E-1,9.895534515E0,9.924837026E0
