"event","experiment time","system time","system time text"
"START",0.000000000E0,1713806818.416,"2024-04-22 19:26:58.416 UTC+02:00"
"PAUSE",1.410313738E1,1713806832.519,"2024-04-22 19:27:12.519 UTC+02:00"
