"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.956668772E0,4.457019850E1,6.106375400E0,7.586030792E2,8.124000244E2,NaN,NaN,3.410800785E-2,4.890000153E1,7.123376846E0,0.000000000E0
3.254594179E0,4.457017093E1,6.105946563E0,7.482038863E2,8.020000000E2,4.259999752E0,2.403999939E2,3.542482375E-2,1.150000000E1,1.300000000E1,1.800000000E1
4.262248672E0,4.457016000E1,6.105952933E0,7.512038670E2,8.050000000E2,6.159999847E0,2.403999939E2,4.452303151E-2,9.500000000E0,1.100000000E1,2.100000000E1
5.249934375E0,4.457008452E1,6.105997274E0,7.612037332E2,8.150000000E2,8.050000191E0,2.363999939E2,5.470789612E-2,8.500000000E0,1.100000000E1,2.400000000E1
6.239345859E0,4.457001004E1,6.105922423E0,7.612038358E2,8.150000000E2,9.539999962E0,2.376999969E2,8.312855746E-2,8.500000000E0,1.100000000E1,2.300000000E1
8.275907734E0,4.456999500E1,6.105564265E0,7.442045350E2,7.980000000E2,1.064999962E1,2.361000061E2,9.537500580E-2,2.000000000E1,2.000000000E1,2.000000000E1
8.562207929E0,4.456989370E1,6.105624950E0,7.592043531E2,8.130000000E2,1.055000019E1,2.350000000E2,1.125542171E-1,2.200000000E1,2.500000000E1,2.000000000E1
1.025088707E1,4.456986026E1,6.105413223E0,7.502047514E2,8.040000000E2,8.889999390E0,2.386999969E2,1.194331724E-1,6.500000000E0,9.000000000E0,2.300000000E1
1.123478027E1,4.456982480E1,6.105342060E0,7.512048705E2,8.050000000E2,4.949999809E0,2.336000061E2,1.226537597E-1,5.500000000E0,7.000000000E0,2.600000000E1
1.224156098E1,4.456981617E1,6.105303252E0,7.492049419E2,8.030000000E2,3.039999962E0,2.391000061E2,1.250656192E-1,4.500000000E0,6.000000000E0,2.700000000E1
1.326059770E1,4.456980636E1,6.105276095E0,7.482049897E2,8.020000000E2,1.309999943E0,2.416000061E2,1.263942258E-1,4.000000000E0,6.000000000E0,2.700000000E1
1.427676211E1,4.456980280E1,6.105260085E0,7.462050191E2,8.000000000E2,2.699999809E-1,2.431999969E2,NaN,4.000000000E0,6.000000000E0,2.800000000E1
