"event","experiment time","system time","system time text"
"START",0.000000000E0,1713807118.670,"2024-04-22 19:31:58.670 UTC+02:00"
"PAUSE",1.196821004E1,1713807130.638,"2024-04-22 19:32:10.638 UTC+02:00"
