"event","experiment time","system time","system time text"
"START",0.000000000E0,1713807677.724,"2024-04-22 19:41:17.724 UTC+02:00"
"PAUSE",1.063401039E1,1713807688.358,"2024-04-22 19:41:28.358 UTC+02:00"
