"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.830086470E-1,-2.944868207E-1,2.968810201E-1,9.756670952E0,9.765627931E0
3.850188690E-1,-3.016694188E-1,3.016694188E-1,9.742305756E0,9.751642442E0
3.870290690E-1,-3.136404157E-1,2.849099934E-1,9.703998566E0,9.713245193E0
3.890392500E-1,-3.160346150E-1,2.944868207E-1,9.708786964E0,9.718392083E0
3.910493330E-1,-2.729389966E-1,3.160346150E-1,9.756670952E0,9.765602984E0
3.930593330E-1,-2.561795712E-1,3.160346150E-1,9.773430824E0,9.781894291E0
3.950692610E-1,-2.106897533E-1,3.136404157E-1,9.785401344E0,9.792693192E0
3.970790610E-1,-1.484405100E-1,3.040636182E-1,9.761459351E0,9.767321942E0
3.990888730E-1,-1.197100878E-1,2.968810201E-1,9.751882553E0,9.757134937E0
4.010986960E-1,-1.101332754E-1,3.040636182E-1,9.775824547E0,9.781172199E0
4.031084180E-1,-1.771709323E-1,3.064578176E-1,9.811738014E0,9.818121449E0
4.051180490E-1,-2.274491638E-1,3.016694188E-1,9.821314812E0,9.828578849E0
4.071275990E-1,-3.088520169E-1,2.873041928E-1,9.794978142E0,9.804056817E0
4.091389320E-1,-3.088520169E-1,2.753331959E-1,9.759065628E0,9.767832916E0
4.111484770E-1,-3.040636182E-1,2.944868207E-1,9.742305756E0,9.751497250E0
4.131580850E-1,-2.944868207E-1,3.088520169E-1,9.742305756E0,9.751647732E0
4.151677100E-1,-3.208230138E-1,3.303998411E-1,9.794978142E0,9.805798706E0
4.171773500E-1,-3.615244627E-1,3.232172430E-1,9.838073730E0,9.850018480E0
4.191870030E-1,-3.639186621E-1,3.208230138E-1,9.864410400E0,9.876333163E0
4.211966690E-1,-3.160346150E-1,3.016694188E-1,9.881169319E0,9.890823496E0
4.232063470E-1,-2.920926213E-1,2.873041928E-1,9.881169319E0,9.889659696E0
4.252160360E-1,-2.729389966E-1,2.609679997E-1,9.869198799E0,9.876420654E0
4.272257020E-1,-2.346317619E-1,2.633621991E-1,9.862015724E0,9.868321329E0
4.292353350E-1,-2.274491638E-1,2.825157940E-1,9.838073730E0,9.844757134E0
4.312449350E-1,-2.298433632E-1,3.064578176E-1,9.821314812E0,9.828782681E0
4.332544680E-1,-2.394201756E-1,2.992752194E-1,9.809343338E0,9.816827614E0
4.352640010E-1,-2.489969730E-1,2.896983922E-1,9.763854027E0,9.771323867E0
4.372734670E-1,-2.250549644E-1,2.729389966E-1,9.720758438E0,9.727193328E0
4.392829000E-1,-2.226607651E-1,2.992752194E-1,9.706393242E0,9.713558217E0
4.412923660E-1,-2.059013397E-1,3.280056417E-1,9.706393242E0,9.714116163E0
4.433297320E-1,-2.106897533E-1,3.184288144E-1,9.725546837E0,9.733039009E0
4.453671320E-1,-2.489969730E-1,3.112462163E-1,9.756670952E0,9.764809356E0
4.474045650E-1,-2.825157940E-1,3.208230138E-1,9.806949615E0,9.816262188E0
4.494419980E-1,-2.968810201E-1,3.184288144E-1,9.840468407E0,9.850094097E0
4.514794980E-1,-3.303998411E-1,3.208230138E-1,9.854833603E0,9.865588518E0
4.535170310E-1,-3.567360640E-1,3.016694188E-1,9.859622002E0,9.870684428E0
4.555545640E-1,-3.687070608E-1,2.705447972E-1,9.857227325E0,9.867830052E0
4.575921970E-1,-3.734954596E-1,2.681505978E-1,9.862015724E0,9.872727979E0
4.596298300E-1,-3.687070608E-1,2.729389966E-1,9.833285332E0,9.843979937E0
4.616674630E-1,-3.639186621E-1,2.777273953E-1,9.787796021E0,9.798495815E0
4.637052290E-1,-3.447650373E-1,2.873041928E-1,9.778219223E0,9.788512543E0
4.657430290E-1,-3.016694188E-1,2.968810201E-1,9.775824547E0,9.784982798E0
4.677808950E-1,-2.681505978E-1,2.944868207E-1,9.775824547E0,9.783934423E0
4.698175280E-1,-2.537853718E-1,3.040636182E-1,9.756670952E0,9.764706333E0
4.718554610E-1,-2.226607651E-1,3.088520169E-1,9.754277229E0,9.761705366E0
4.738933610E-1,-2.011129409E-1,3.088520169E-1,9.771036148E0,9.777984628E0
4.759312610E-1,-2.035071403E-1,3.208230138E-1,9.783007622E0,9.790382050E0
4.779690940E-1,-1.987187415E-1,3.112462163E-1,9.780612946E0,9.787581567E0
4.800068940E-1,-2.274491638E-1,3.136404157E-1,9.775824547E0,9.783498812E0
4.820446940E-1,-2.609679997E-1,2.920926213E-1,9.766247749E0,9.774099319E0
4.840824270E-1,-2.705447972E-1,2.944868207E-1,9.773430824E0,9.781608613E0
4.861201270E-1,-3.064578176E-1,2.896983922E-1,9.761459351E0,9.770564477E0
4.881578270E-1,-3.375824392E-1,2.920926213E-1,9.742305756E0,9.752527951E0
4.901977930E-1,-3.423708379E-1,2.920926213E-1,9.747094154E0,9.757478175E0
4.922378260E-1,-3.447650373E-1,2.968810201E-1,9.759065628E0,9.769665460E0
4.942778590E-1,-3.423708379E-1,3.088520169E-1,9.794978142E0,9.805825012E0
4.963178590E-1,-3.351882398E-1,3.160346150E-1,9.814131737E0,9.824938207E0
4.983578920E-1,-3.256114423E-1,3.184288144E-1,9.838073730E0,9.848609772E0
5.003979250E-1,-3.112462163E-1,3.088520169E-1,9.859622002E0,9.869367244E0
5.024379250E-1,-2.873041928E-1,2.968810201E-1,9.857227325E0,9.865881237E0
5.044500580E-1,-2.944868207E-1,2.992752194E-1,9.859622002E0,9.868557856E0
5.064621580E-1,-2.801215947E-1,2.825157940E-1,9.850045204E0,9.858076577E0
5.084742240E-1,-2.681505978E-1,2.849099934E-1,9.814131737E0,9.821927519E0
5.104862570E-1,-2.657563984E-1,3.016694188E-1,9.778219223E0,9.786480577E0
5.124982230E-1,-2.561795712E-1,3.088520169E-1,9.761459351E0,9.769703485E0
5.145101890E-1,-2.346317619E-1,3.160346150E-1,9.725546837E0,9.733508680E0
5.165221890E-1,-2.370259613E-1,3.256114423E-1,9.713575363E0,9.721921130E0
5.185341220E-1,-2.370259613E-1,3.303998411E-1,9.711181641E0,9.719691056E0
5.205460880E-1,-2.418143749E-1,3.256114423E-1,9.720758438E0,9.729215879E0
5.225580210E-1,-2.346317619E-1,3.280056417E-1,9.737517357E0,9.745864971E0
5.245698540E-1,-2.537853718E-1,3.303998411E-1,9.751882553E0,9.760777858E0
5.265817540E-1,-2.920926213E-1,3.160346150E-1,9.814131737E0,9.823562374E0
5.285936540E-1,-3.232172430E-1,3.016694188E-1,9.866804123E0,9.876704786E0
5.306055540E-1,-3.303998411E-1,3.184288144E-1,9.876380920E0,9.887034998E0
5.326174200E-1,-3.256114423E-1,3.160346150E-1,9.876380920E0,9.886799319E0
5.346292200E-1,-3.088520169E-1,3.064578176E-1,9.857227325E0,9.866825047E0
5.366409860E-1,-3.112462163E-1,2.968810201E-1,9.818920135E0,9.828336847E0
5.386528190E-1,-3.112462163E-1,2.992752194E-1,9.794978142E0,9.804490638E0
5.406647190E-1,-3.112462163E-1,2.992752194E-1,9.735123634E0,9.744694559E0
5.426766190E-1,-2.849099934E-1,3.136404157E-1,9.711181641E0,9.720421435E0
5.446885850E-1,-2.705447972E-1,3.160346150E-1,9.706393242E0,9.715304531E0
5.467005850E-1,-2.513911724E-1,3.208230138E-1,9.713575363E0,9.722122776E0
5.487126180E-1,-2.394201756E-1,3.423708379E-1,9.711181641E0,9.720164025E0
5.507223840E-1,-2.250549644E-1,3.256114423E-1,9.735123634E0,9.743167079E0
5.527320840E-1,-2.298433632E-1,3.232172430E-1,9.751882553E0,9.759944195E0
5.547418500E-1,-2.609679997E-1,3.232172430E-1,9.778219223E0,9.787039637E0
5.567516500E-1,-2.849099934E-1,3.088520169E-1,9.802161217E0,9.811163427E0
5.587614500E-1,-2.873041928E-1,3.136404157E-1,9.799766541E0,9.808992724E0
5.607712830E-1,-2.992752194E-1,2.992752194E-1,9.811738014E0,9.820862191E0
5.627811160E-1,-3.375824392E-1,3.184288144E-1,9.823708534E0,9.834663603E0
5.647908160E-1,-3.639186621E-1,3.232172430E-1,9.811738014E0,9.823803186E0
5.668004490E-1,-3.926490843E-1,3.160346150E-1,9.802161217E0,9.815111599E0
5.688100490E-1,-3.711012602E-1,3.088520169E-1,9.797372818E0,9.809261942E0
5.708253150E-1,-3.303998411E-1,3.040636182E-1,9.768642426E0,9.778956671E0
5.728406810E-1,-3.256114423E-1,2.968810201E-1,9.768642426E0,9.778575356E0
5.748560810E-1,-2.968810201E-1,3.040636182E-1,9.775824547E0,9.785056903E0
5.768714810E-1,-2.633621991E-1,3.280056417E-1,9.797372818E0,9.806399007E0
5.788868810E-1,-2.585737705E-1,3.184288144E-1,9.806949615E0,9.815524340E0
5.809022470E-1,-2.753331959E-1,3.136404157E-1,9.826103210E0,9.834962277E0
5.829176800E-1,-2.609679997E-1,3.040636182E-1,9.821314812E0,9.829485419E0
5.849331460E-1,-2.489969730E-1,2.968810201E-1,9.811738014E0,9.819385963E0
5.869485790E-1,-2.513911724E-1,2.920926213E-1,9.790189743E0,9.797771728E0
5.889640120E-1,-2.729389966E-1,2.873041928E-1,9.771036148E0,9.779068811E0
5.909794450E-1,-3.016694188E-1,3.088520169E-1,9.763854027E0,9.773394470E0
5.929948780E-1,-3.112462163E-1,3.136404157E-1,9.763854027E0,9.773847245E0
5.950103780E-1,-2.992752194E-1,3.064578176E-1,9.771036148E0,9.780420720E0
5.970259110E-1,-3.088520169E-1,3.064578176E-1,9.780612946E0,9.790285775E0
5.990413770E-1,-3.064578176E-1,3.016694188E-1,9.785401344E0,9.794845599E0
6.010567770E-1,-2.992752194E-1,3.016694188E-1,9.780612946E0,9.789839615E0
6.030721770E-1,-3.232172430E-1,3.016694188E-1,9.814131737E0,9.824085483E0
6.051154770E-1,-3.184288144E-1,3.136404157E-1,9.830891609E0,9.841046543E0
6.071588100E-1,-3.184288144E-1,3.064578176E-1,9.847650528E0,9.857562286E0
6.092021100E-1,-2.944868207E-1,3.088520169E-1,9.838073730E0,9.847324854E0
6.112454100E-1,-2.968810201E-1,3.016694188E-1,9.826103210E0,9.835214643E0
6.132887100E-1,-3.040636182E-1,2.896983922E-1,9.797372818E0,9.806370071E0
6.153319430E-1,-2.968810201E-1,2.873041928E-1,9.771036148E0,9.779766329E0
6.173751430E-1,-2.896983922E-1,2.849099934E-1,9.759065628E0,9.767520709E0
6.194183430E-1,-2.537853718E-1,3.016694188E-1,9.735123634E0,9.743102362E0
6.214615090E-1,-2.418143749E-1,3.136404157E-1,9.735123634E0,9.743175903E0
