"event","experiment time","system time","system time text"
"START",0.000000000E0,1713807233.755,"2024-04-22 19:33:53.755 UTC+02:00"
"PAUSE",2.316713562E1,1713807256.922,"2024-04-22 19:34:16.922 UTC+02:00"
