"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.461267020E-1,4.457020050E1,6.106374500E0,7.586030822E2,8.124000244E2,NaN,NaN,2.295661769E-2,4.559999847E1,6.656400204E0,0.000000000E0
1.764386602E0,4.457017571E1,6.106086792E0,7.612036118E2,8.150000000E2,1.639999986E0,2.678999939E2,2.715494078E-2,1.550000000E1,2.100000000E1,1.400000000E1
2.110122852E0,4.457018011E1,6.106034154E0,7.662037187E2,8.200000000E2,2.849999905E0,2.678999939E2,3.368843679E-2,1.400000000E1,1.900000000E1,1.600000000E1
3.106130820E0,4.457012136E1,6.106034154E0,7.682036828E2,8.220000000E2,5.069999695E0,2.266999969E2,3.827102345E-2,1.300000000E1,1.700000000E1,2.000000000E1
4.114180586E0,4.457014906E1,6.105991323E0,7.512037844E2,8.050000000E2,7.069999695E0,2.251000061E2,4.921602701E-2,1.200000000E1,1.400000000E1,2.200000000E1
5.104294180E0,4.457010903E1,6.105865091E0,7.572040097E2,8.110000000E2,8.019999504E0,2.266999969E2,5.868234094E-2,1.000000000E1,1.100000000E1,2.400000000E1
6.114185195E0,4.457005979E1,6.105767610E0,7.532041724E2,8.070000000E2,9.880000114E0,2.261000061E2,6.954798104E-2,7.500000000E0,9.000000000E0,2.300000000E1
7.091561563E0,4.456998854E1,6.105673732E0,7.542043146E2,8.080000000E2,1.080000019E1,2.271999969E2,7.942238944E-2,6.000000000E0,7.000000000E0,2.300000000E1
8.112055352E0,4.456992878E1,6.105581531E0,7.532044604E2,8.070000000E2,1.057999992E1,2.326000061E2,8.807783536E-2,5.500000000E0,6.000000000E0,2.600000000E1
9.115080508E0,4.456988415E1,6.105492013E0,7.512046102E2,8.050000000E2,9.039999962E0,2.343999939E2,9.487038566E-2,5.000000000E0,6.000000000E0,2.700000000E1
1.013103934E1,4.456984668E1,6.105424287E0,7.512047212E2,8.050000000E2,5.579999924E0,2.413999939E2,9.897196373E-2,5.000000000E0,5.000000000E0,2.600000000E1
1.110454562E1,4.456983218E1,6.105376678E0,7.502048065E2,8.040000000E2,1.789999962E0,2.421999969E2,1.003365111E-1,4.500000000E0,5.000000000E0,2.800000000E1
1.211678078E1,4.456982736E1,6.105360836E0,7.502048349E2,8.040000000E2,6.800000072E-1,2.870000000E2,1.007615515E-1,4.500000000E0,5.000000000E0,2.800000000E1
1.311463250E1,4.456982363E1,6.105359662E0,7.492048349E2,8.030000000E2,6.299999952E-1,2.520000076E1,NaN,4.000000000E0,5.000000000E0,2.800000000E1
