"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.628676250E-1,-1.125274822E-1,1.149216816E-1,9.991303444E0,9.992597957E0
2.648796250E-1,1.436520964E-1,4.333505034E-1,1.009185982E1,1.010218111E1
2.668936250E-1,1.987187415E-1,5.746083856E-1,1.013734913E1,1.015556553E1
2.689071250E-1,1.077390760E-1,6.129156351E-1,1.002242756E1,1.004172931E1
2.709211250E-1,-1.651999205E-1,5.386953950E-1,9.699210167E0,9.715562856E0
2.729348750E-1,-3.543418646E-1,5.003881454E-1,9.531616211E0,9.551316875E0
2.749486750E-1,-7.254431248E-1,3.711012602E-1,9.318531990E0,9.354091208E0
2.769625080E-1,-9.433154464E-1,3.303998411E-1,9.277831078E0,9.331514217E0
2.789766500E-1,-9.696516991E-1,3.998316824E-1,9.395146370E0,9.453510729E0
2.809906500E-1,-9.552865028E-1,4.357447028E-1,9.514857292E0,9.572614849E0
2.830047610E-1,-8.571242094E-1,4.548983276E-1,9.854833603E0,9.902491593E0
2.850189610E-1,-8.020575643E-1,4.596867263E-1,1.031930828E1,1.036063375E1
2.870328700E-1,-8.020575643E-1,5.099649429E-1,1.058027649E1,1.062288149E1
2.890467860E-1,-8.236053586E-1,6.703764796E-1,1.102799225E1,1.107900462E1
2.910606320E-1,-8.978256583E-1,6.775590777E-1,1.115727901E1,1.121383307E1
2.930783460E-1,-9.744400978E-1,5.434837937E-1,1.102799225E1,1.108429164E1
2.950921460E-1,-1.204283476E0,8.619125932E-2,1.048211479E1,1.055141972E1
2.971059580E-1,-1.364694953E0,-1.029506698E-1,9.929053307E0,1.002292825E1
2.991197810E-1,-1.376665950E0,2.633621916E-2,9.675268173E0,9.772753806E0
3.011336140E-1,-1.316810966E0,1.412578970E-1,9.665691376E0,9.755999933E0
3.031472980E-1,-1.158793569E0,3.974374831E-1,9.787796021E0,9.864162916E0
3.051609480E-1,-9.409212470E-1,5.554547906E-1,9.996091843E0,1.005563101E1
3.071745670E-1,-8.236053586E-1,5.386953950E-1,1.007749462E1,1.012543413E1
3.091881570E-1,-6.009446383E-1,3.232172430E-1,1.007749462E1,1.010056937E1
3.112018090E-1,-3.591302633E-1,1.029506698E-1,9.888352394E0,9.895407342E0
3.132153920E-1,-2.298433632E-1,5.027823523E-2,9.766247749E0,9.769081378E0
3.152289120E-1,-8.140286058E-2,1.268926859E-1,9.562741280E0,9.563929577E0
3.172423730E-1,-1.699883193E-1,4.644751251E-1,9.517251015E0,9.530094441E0
3.192558540E-1,-4.572925270E-1,6.943184733E-1,9.574711800E0,9.610738819E0
3.212692820E-1,-6.272808313E-1,7.182605267E-1,9.629778862E0,9.676880714E0
3.232827300E-1,-9.026140571E-1,6.081272364E-1,9.802161217E0,9.862398055E0
3.252961300E-1,-9.935936928E-1,4.333505034E-1,9.993697166E0,1.005231337E1
3.273374300E-1,-8.643068075E-1,2.442085743E-1,1.009664822E1,1.013651662E1
3.293787300E-1,-5.913678408E-1,2.322375625E-1,1.016129112E1,1.018113390E1
3.314199630E-1,-4.692635238E-1,3.375824392E-1,1.021875191E1,1.023508968E1
3.334611960E-1,-3.471592367E-1,6.081272364E-1,1.041268253E1,1.043620122E1
3.355023620E-1,-3.663128614E-1,7.613561153E-1,1.050366211E1,1.053758824E1
3.375434620E-1,-4.022258818E-1,7.062895298E-1,1.030973148E1,1.034172103E1
3.395844280E-1,-3.926490843E-1,6.177040339E-1,1.010143661E1,1.012791949E1
3.416253610E-1,-4.118026793E-1,4.094084799E-1,9.615413666E0,9.632931886E0
3.436662270E-1,-6.057330370E-1,3.495534360E-1,9.253889084E0,9.280278191E0
3.457070600E-1,-9.050082564E-1,2.705447972E-1,9.153332710E0,9.201941868E0
3.477479260E-1,-1.041477680E0,1.628057212E-1,9.177274704E0,9.237616167E0
3.497887590E-1,-1.173158884E0,-1.244984865E-1,9.332897186E0,9.407165967E0
3.518295920E-1,-1.177947283E0,-2.346317619E-1,9.498097420E0,9.573738374E0
3.538685920E-1,-1.089361787E0,-7.182604820E-2,1.002242756E1,1.008171227E1
3.559093920E-1,-9.840168953E-1,5.147533417E-1,1.074308205E1,1.080032741E1
3.579501250E-1,-9.552865028E-1,9.504981041E-1,1.124107647E1,1.132156434E1
3.599908250E-1,-9.864110947E-1,1.017535686E0,1.130811405E1,1.139657094E1
3.620314910E-1,-1.024718285E0,8.930372596E-1,1.111418343E1,1.119699229E1
3.640722570E-1,-1.024718285E0,5.793967843E-1,1.062816048E1,1.069315404E1
3.661130230E-1,-1.003170490E0,3.854664862E-1,1.033606815E1,1.039178716E1
3.681537230E-1,-9.241618514E-1,1.675941236E-2,9.715970039E0,9.759837591E0
3.701943560E-1,-7.062895298E-1,-8.140286058E-2,9.229947090E0,9.257288729E0
3.722348560E-1,-5.650315881E-1,2.202665508E-1,9.100660324E0,9.120844061E0
3.742806220E-1,-2.657563984E-1,4.716577232E-1,9.110237122E0,9.126308557E0
3.763264220E-1,-1.268926859E-1,8.427590132E-1,9.320926666E0,9.359808675E0
3.783722220E-1,-1.723825186E-1,8.547300100E-1,9.411906242E0,9.452209172E0
3.804179550E-1,-2.394201756E-1,7.757213712E-1,9.419088364E0,9.454009270E0
3.824637210E-1,-4.118026793E-1,6.368576288E-1,9.498097420E0,9.528327434E0
3.845094540E-1,-6.536170840E-1,3.974374831E-1,9.711181641E0,9.741263814E0
3.865551540E-1,-9.050082564E-1,1.197100878E-1,9.981725693E0,1.002338357E1
3.885729200E-1,-9.840168953E-1,4.548983276E-2,1.014692593E1,1.019462919E1
3.905906530E-1,-1.048660398E0,1.628057212E-1,1.060421848E1,1.065718743E1
3.926083860E-1,-1.036689281E0,4.022258818E-1,1.113812542E1,1.119349580E1
3.946260860E-1,-1.027112484E0,4.453215301E-1,1.130811405E1,1.136339363E1
3.966438190E-1,-9.744400978E-1,4.094084799E-1,1.127698898E1,1.132641291E1
3.986615520E-1,-7.924807668E-1,3.926490843E-1,1.080054283E1,1.083669343E1
4.006792850E-1,-6.943184733E-1,4.333505034E-1,1.047732544E1,1.050924446E1
4.026970180E-1,-5.746083856E-1,4.453215301E-1,9.821314812E0,9.848183116E0
4.047147180E-1,-6.057330370E-1,3.351882398E-1,9.227552414E0,9.253485139E0
4.067323180E-1,-6.775590777E-1,4.070142806E-1,8.820538521E0,8.855882041E0
4.087498510E-1,-6.607996821E-1,5.386953950E-1,8.741529465E0,8.783005541E0
4.107673840E-1,-5.291185975E-1,7.972691655E-1,8.796596527E0,8.848486598E0
4.127848840E-1,-5.482721925E-1,7.015010715E-1,9.076718330E0,9.120280796E0
4.148023840E-1,-5.961562395E-1,5.386953950E-1,9.196428299E0,9.231461880E0
4.168199170E-1,-7.182605267E-1,2.106897533E-1,9.495702744E0,9.525159261E0
4.188374500E-1,-7.374141216E-1,2.705447972E-1,9.969755173E0,1.000064959E1
4.208549160E-1,-6.991068721E-1,3.854664862E-1,1.021635818E1,1.024750259E1
4.228723490E-1,-6.392518282E-1,4.381389022E-1,1.059464169E1,1.062294879E1
