"event","experiment time","system time","system time text"
"START",0.000000000E0,1713806861.596,"2024-04-22 19:27:41.596 UTC+02:00"
"PAUSE",1.196587543E1,1713806873.562,"2024-04-22 19:27:53.562 UTC+02:00"
