"event","experiment time","system time","system time text"
"START",0.000000000E0,1713807191.008,"2024-04-22 19:33:11.008 UTC+02:00"
"PAUSE",1.178005047E1,1713807202.788,"2024-04-22 19:33:22.788 UTC+02:00"
