"event","experiment time","system time","system time text"
"START",0.000000000E0,1713807160.692,"2024-04-22 19:32:40.692 UTC+02:00"
"PAUSE",1.077183980E1,1713807171.464,"2024-04-22 19:32:51.464 UTC+02:00"
