"event","experiment time","system time","system time text"
"START",0.000000000E0,1713807013.645,"2024-04-22 19:30:13.645 UTC+02:00"
"PAUSE",1.299982016E1,1713807026.645,"2024-04-22 19:30:26.645 UTC+02:00"
