"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.570857860E-1,-4.453215301E-1,-9.504981041E-1,1.006073475E1,1.011534189E1
2.590977860E-1,-5.746083856E-1,-9.385270476E-1,1.014453220E1,1.020404535E1
2.611117860E-1,-8.020575643E-1,-9.361328483E-1,1.034564495E1,1.041882961E1
2.631252860E-1,-9.217676520E-1,-1.005564690E0,1.047493172E1,1.056338063E1
2.651382860E-1,-9.074024558E-1,-1.060631394E0,1.048690319E1,1.057938830E1
2.671510360E-1,-7.493851185E-1,-1.072602391E0,1.047253704E1,1.055396068E1
2.691636360E-1,-4.453215301E-1,-8.283938169E-1,1.046296024E1,1.050514563E1
2.711759690E-1,-1.675941199E-1,-5.482721925E-1,1.046535492E1,1.048104688E1
2.731882540E-1,-8.858546615E-2,-4.860229492E-1,1.043422985E1,1.044591874E1
2.752005040E-1,-3.351882473E-2,-5.051765442E-1,1.025466537E1,1.026715583E1
2.772305040E-1,-2.609679997E-1,-6.081272364E-1,1.002003384E1,1.004186243E1
2.792589040E-1,-5.051765442E-1,-5.817909837E-1,9.826103210E0,9.856266453E0
2.812858130E-1,-5.099649429E-1,-5.674257874E-1,9.703998566E0,9.733941875E0
2.833114790E-1,-3.663128614E-1,-7.086837292E-1,9.378387451E0,9.412256314E0
2.853361710E-1,-1.651999205E-1,-8.906430602E-1,9.055170059E0,9.100364876E0
2.873599560E-1,-8.858546615E-2,-9.121908545E-1,8.952219009E0,8.999009097E0
2.893829560E-1,-3.351882473E-2,-8.044517636E-1,8.933065414E0,8.969276663E0
2.914052680E-1,4.788403399E-3,-6.679822803E-1,9.112630844E0,9.137081818E0
2.934270320E-1,4.548983276E-2,-6.584054828E-1,9.256282806E0,9.279781166E0
2.954483090E-1,9.576806426E-2,-7.062895298E-1,9.613018990E0,9.639406129E0
2.974691510E-1,1.053448766E-1,-6.607996821E-1,1.004397583E1,1.006624082E1
2.994896010E-1,9.816227108E-2,-6.009446383E-1,1.047493172E1,1.049261477E1
