"event","experiment time","system time","system time text"
"START",0.000000000E0,1713807338.672,"2024-04-22 19:35:38.672 UTC+02:00"
"PAUSE",1.430160883E1,1713807352.973,"2024-04-22 19:35:52.973 UTC+02:00"
