"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.642204060E-1,-2.109291792E0,3.303998411E-1,1.041028786E1,1.062696425E1
2.662354060E-1,-2.300827742E0,5.051765442E-1,1.028578949E1,1.055208402E1
2.682494060E-1,-2.360682964E0,6.799532771E-1,1.019959831E1,1.049128049E1
2.702624060E-1,-1.766920805E0,4.812345505E-1,1.028339577E1,1.044518187E1
2.722750720E-1,-1.242590666E0,3.519476354E-1,1.036240387E1,1.044257213E1
2.742878220E-1,-3.734954596E-1,1.484405100E-1,1.042944145E1,1.043718269E1
2.763004220E-1,-1.915361360E-2,2.633621916E-2,1.006791782E1,1.006797049E1
2.783130880E-1,1.005564705E-1,9.576806799E-3,9.747094154E0,9.747617543E0
2.803258020E-1,3.926490843E-1,6.943184882E-2,9.086295128E0,9.095040035E0
2.823384270E-1,4.525041282E-1,2.681505978E-1,8.590695381E0,8.606782898E0
2.843512040E-1,-9.097966552E-2,4.596867263E-1,8.233959198E0,8.247282780E0
2.863639040E-1,-6.057330370E-1,4.692635238E-1,8.052000046E0,8.088375950E0
2.883768130E-1,-1.802833915E0,2.873041928E-1,7.666532993E0,7.880893475E0
2.903896460E-1,-2.454056740E0,9.337386489E-2,7.470208645E0,7.863531672E0
2.924025690E-1,-2.434903145E0,1.125274822E-1,7.549217224E0,7.932975259E0
2.944155690E-1,-1.960851192E0,4.189853072E-1,8.123826027E0,8.367618263E0
2.964287020E-1,-1.223437071E0,8.116343617E-1,9.117419243E0,9.234873158E0
2.993497020E-1,-3.447650373E-1,7.829039693E-1,1.025466537E1,1.029028491E1
3.013684060E-1,5.267243832E-2,2.513911724E-1,1.106390572E1,1.106688672E1
3.033824060E-1,-1.716642618E0,-8.283938169E-1,1.111897182E1,1.128116273E1
3.053944060E-1,-2.346317768E0,-1.326387763E0,1.097771454E1,1.130374841E1
3.074064060E-1,-2.750937700E0,-1.838746905E0,1.073350525E1,1.123195367E1
3.094184060E-1,-2.489969730E0,-1.836352706E0,1.064013195E1,1.108081894E1
3.114309060E-1,-2.207453966E0,-1.692700624E0,1.061140156E1,1.096995585E1
3.134435060E-1,-1.577778935E0,-1.364694953E0,1.052760410E1,1.073229830E1
3.154563390E-1,-1.101332784E0,-1.216254473E0,1.063534355E1,1.076116821E1
3.174690530E-1,-9.672574997E-1,-1.312022567E0,1.085800362E1,1.097967362E1
3.194816780E-1,-9.648633003E-1,-1.414973259E0,1.096574306E1,1.109867701E1
3.214943440E-1,-8.619126081E-1,-1.546654344E0,1.120516300E1,1.134419283E1
3.235071440E-1,-5.363011956E-1,-1.472434044E0,1.140867043E1,1.151579098E1
3.255199620E-1,-3.136404157E-1,-1.381454349E0,1.143740082E1,1.152479605E1
3.275327950E-1,3.591302410E-2,-1.182735682E0,1.133205605E1,1.139366700E1
3.295457180E-1,4.668693244E-1,-8.523358107E-1,1.105911732E1,1.110173496E1
3.315587180E-1,7.589619160E-1,-6.488286853E-1,1.090828228E1,1.095388626E1
3.335717840E-1,1.335964561E0,-2.633621991E-1,1.053718090E1,1.062479846E1
3.355849710E-1,1.680729628E0,-1.556231081E-1,1.006552315E1,1.020606814E1
3.375982650E-1,1.989581585E0,-2.992752194E-1,9.474155426E0,9.685433474E0
3.396114310E-1,2.159569979E0,-4.812345505E-1,9.134179115E0,9.398327367E0
3.416245880E-1,2.432508945E0,-1.005564690E0,8.418312073E0,8.820217586E0
3.436376380E-1,1.685518026E0,-1.005564690E0,7.975385189E0,8.213336732E0
3.456675900E-1,1.177947283E0,-8.619126081E-1,7.867646217E0,8.001894160E0
3.476968170E-1,1.015141487E0,-7.781155705E-1,7.872434616E0,7.975663161E0
3.497253380E-1,7.852981687E-1,-6.416460276E-1,7.831733227E0,7.897116447E0
3.517531710E-1,6.344634295E-1,-5.410895944E-1,7.838915825E0,7.883141703E0
3.537804110E-1,5.937620401E-1,-4.812345505E-1,7.934683800E0,7.971408097E0
3.558071410E-1,5.961562395E-1,-3.639186621E-1,8.423100471E0,8.452009265E0
3.578334000E-1,6.464344859E-1,-2.154781520E-1,9.117419243E0,9.142846495E0
3.598592210E-1,7.278373241E-1,-5.506663769E-2,9.888352394E0,9.915255548E0
3.618846000E-1,7.924807668E-1,3.112462163E-2,1.035282707E1,1.038316054E1
3.639095660E-1,8.643068075E-1,2.394201756E-1,1.128896046E1,1.132452986E1
3.659345660E-1,8.523358107E-1,4.381389022E-1,1.206947041E1,1.210745877E1
3.679595990E-1,8.259995580E-1,5.219359994E-1,1.236635113E1,1.240489148E1
3.699846650E-1,6.919242740E-1,6.991068721E-1,1.259380054E1,1.263215428E1
3.720096650E-1,5.003881454E-1,8.331822157E-1,1.245733070E1,1.249518584E1
3.740346650E-1,4.189853072E-1,9.744400978E-1,1.231128407E1,1.235689271E1
3.760596650E-1,2.370259613E-1,1.031900883E0,1.205271053E1,1.209912525E1
3.780847310E-1,9.097966552E-2,1.101332784E0,1.170076275E1,1.175283200E1
3.801104310E-1,-3.591302410E-2,1.156399369E0,1.123868179E1,1.129807584E1
3.821355640E-1,-6.464344263E-2,1.165976286E0,1.092743587E1,1.098965579E1
3.841606640E-1,-1.484405100E-1,1.177947283E0,1.016368580E1,1.023279548E1
3.861857300E-1,-3.399766386E-1,1.134851575E0,9.191639900E0,9.267670488E0
3.882107630E-1,-4.668693244E-1,1.079784989E0,8.650549889E0,8.730172734E0
3.902357630E-1,-6.607996821E-1,1.024718285E0,7.769483566E0,7.864577463E0
3.922607630E-1,-8.307880163E-1,1.007958889E0,7.170933247E0,7.288928143E0
3.942857290E-1,-8.858546019E-1,9.792284966E-1,6.974608898E0,7.098506611E0
3.963105950E-1,-9.457096457E-1,9.768342972E-1,6.972214699E0,7.103544875E0
3.983353950E-1,-9.050082564E-1,9.552865028E-1,7.271489620E0,7.389599011E0
4.003602950E-1,-7.709329724E-1,9.911994934E-1,8.104672432E0,8.201373624E0
4.023852280E-1,-6.775590777E-1,9.959878922E-1,8.664915085E0,8.748247345E0
4.044102280E-1,-5.147533417E-1,1.039083481E0,9.790189743E0,9.858624685E0
4.064233610E-1,-3.495534360E-1,1.108515382E0,1.067125607E1,1.073437003E1
4.084364270E-1,-2.896983922E-1,1.118092179E0,1.096095467E1,1.102164155E1
4.104495270E-1,-2.082955539E-1,1.055842996E0,1.110700130E1,1.115901741E1
4.124626600E-1,-1.508347094E-1,9.097966552E-1,1.071195793E1,1.075158239E1
4.144758260E-1,-1.436520964E-1,7.062895298E-1,1.005594635E1,1.008174280E1
4.164889920E-1,-1.532289088E-1,5.841852427E-1,9.718363762E0,9.737111774E0
4.185021250E-1,-1.364694983E-1,3.950432837E-1,9.246706009E0,9.256146884E0
4.205151250E-1,-6.224924326E-2,2.681505978E-1,9.155726433E0,9.159863876E0
4.225280910E-1,-2.394201607E-2,2.489969730E-1,9.246706009E0,9.250088904E0
4.245410240E-1,1.221042871E-1,3.232172430E-1,9.660902977E0,9.667079454E0
4.265593900E-1,2.657563984E-1,4.908113480E-1,1.032649136E1,1.034156400E1
4.285777900E-1,3.327940404E-1,6.584054828E-1,1.094658947E1,1.097142063E1
4.305961900E-1,3.423708379E-1,7.230489254E-1,1.116206741E1,1.119070000E1
4.326146230E-1,3.375824392E-1,8.140285611E-1,1.135120964E1,1.138536625E1
4.346330230E-1,2.849099934E-1,8.355764151E-1,1.121234608E1,1.124704700E1
4.366513890E-1,2.561795712E-1,8.212111592E-1,1.108305931E1,1.111639417E1
