"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.481076000E-1,4.457018540E1,6.106356900E0,7.586031078E2,8.124000244E2,NaN,NaN,8.031786912E-2,1.100000000E2,2.340140533E1,0.000000000E0
1.783214062E0,4.456975733E1,6.105540209E0,7.532044373E2,8.070000000E2,1.199999973E-1,0.000000000E0,8.282950598E-2,1.150000000E1,1.400000000E1,2.000000000E1
2.518995664E0,4.456977908E1,6.105531659E0,7.562044676E2,8.100000000E2,9.099999666E-1,0.000000000E0,8.376424703E-2,8.500000000E0,1.100000000E1,2.800000000E1
3.514649609E0,4.456977355E1,6.105540544E0,7.532044466E2,8.070000000E2,3.049999952E0,0.000000000E0,8.770254017E-2,9.500000000E0,1.200000000E1,3.000000000E1
4.512262890E0,4.456979874E1,6.105575496E0,7.532043929E2,8.070000000E2,5.920000076E0,5.590000153E1,9.651576398E-2,8.500000000E0,1.100000000E1,3.000000000E1
5.508376601E0,4.456984580E1,6.105665015E0,7.542042446E2,8.080000000E2,7.609999657E0,5.709999847E1,1.047818129E-1,5.500000000E0,7.000000000E0,3.100000000E1
6.508158359E0,4.456987887E1,6.105758473E0,7.552040800E2,8.090000000E2,9.349999428E0,5.650000000E1,1.146334379E-1,4.500000000E0,6.000000000E0,3.000000000E1
7.503264218E0,4.456993146E1,6.105858553E0,7.552039142E2,8.090000000E2,1.013999939E1,5.540000153E1,1.240693341E-1,4.000000000E0,5.000000000E0,3.000000000E1
8.503137031E0,4.456997849E1,6.105957711E0,7.552037467E2,8.090000000E2,1.009999943E1,5.559999847E1,1.338945697E-1,3.500000000E0,5.000000000E0,3.200000000E1
9.511504492E0,4.457003297E1,6.106055360E0,7.562035869E2,8.100000000E2,8.800000191E0,5.379999924E1,1.410541876E-1,3.500000000E0,4.000000000E0,3.000000000E1
1.051834418E1,4.457007274E1,6.106126439E0,7.562034706E2,8.100000000E2,5.759999752E0,5.320000076E1,1.456073815E-1,3.000000000E0,4.000000000E0,3.200000000E1
1.152270141E1,4.457009487E1,6.106174802E0,7.562033884E2,8.100000000E2,3.809999943E0,5.329999924E1,1.481551988E-1,3.000000000E0,4.000000000E0,3.200000000E1
1.251011008E1,4.457010861E1,6.106200535E0,7.562033459E2,8.100000000E2,1.519999981E0,5.259999847E1,1.488701865E-1,3.000000000E0,4.000000000E0,3.200000000E1
1.350613973E1,4.457011264E1,6.106207576E0,7.562033344E2,8.100000000E2,1.400000006E-1,5.200000000E1,1.491762000E-1,3.000000000E0,4.000000000E0,3.000000000E1
1.450635977E1,4.457011528E1,6.106206486E0,7.562033382E2,8.100000000E2,3.199999928E-1,5.200000000E1,NaN,3.000000000E0,3.000000000E0,3.100000000E1
