"event","experiment time","system time","system time text"
"START",0.000000000E0,1713806982.592,"2024-04-22 19:29:42.592 UTC+02:00"
"PAUSE",1.243260031E1,1713806995.025,"2024-04-22 19:29:55.025 UTC+02:00"
