"event","experiment time","system time","system time text"
"START",0.000000000E0,1713806772.027,"2024-04-22 19:26:12.027 UTC+02:00"
"PAUSE",1.518224055E1,1713806787.209,"2024-04-22 19:26:27.209 UTC+02:00"
