"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.584498090E-1,1.436520964E-1,-9.528923035E-1,8.947430611E0,8.999175196E0
2.604628090E-1,-1.316810995E-1,-6.631938815E-1,8.672098160E0,8.698416668E0
2.624748090E-1,-2.968810201E-1,-5.051765442E-1,8.741529465E0,8.761145990E0
2.644873090E-1,-6.991068721E-1,-2.106897533E-1,9.167697906E0,9.196729065E0
2.664999750E-1,-9.361328483E-1,-5.267243832E-2,9.502885818E0,9.549029164E0
2.685127250E-1,-1.316810966E0,1.340752989E-1,1.022593498E1,1.031124210E1
2.705251250E-1,-1.300051570E0,-2.154781483E-2,1.076941872E1,1.084762545E1
2.725374580E-1,-1.149216771E0,-1.029506698E-1,1.094180107E1,1.100246830E1
2.745497430E-1,-7.469909191E-1,-1.771709323E-1,1.113812542E1,1.116455207E1
2.765621180E-1,-3.950432837E-1,-4.165911078E-1,1.098010826E1,1.099510731E1
2.785745620E-1,-2.370259613E-1,-5.961562395E-1,1.075984192E1,1.077895086E1
2.805871620E-1,3.591302410E-2,-8.475474119E-1,1.009425354E1,1.012983617E1
2.835101620E-1,1.915361285E-1,-5.506663918E-1,9.177274704E0,9.195775691E0
2.855258090E-1,1.412578970E-1,-3.088520169E-1,9.004891396E0,9.011293603E0
2.875388090E-1,-1.053448766E-1,-6.703764945E-2,8.810961723E0,8.811846463E0
2.895528090E-1,-3.758896589E-1,-8.858546615E-2,8.775048256E0,8.783542128E0
2.915663090E-1,-4.716577232E-1,-8.379705995E-2,8.837297440E0,8.850271690E0
2.935803090E-1,-5.626373887E-1,-5.985504389E-2,9.167697906E0,9.185141717E0
2.955943090E-1,-6.009446383E-1,-1.101332754E-1,9.644144058E0,9.663476518E0
2.976083090E-1,-5.746083856E-1,-2.561795712E-1,1.003918743E1,1.005888100E1
2.996223090E-1,-5.195417404E-1,-3.088520169E-1,1.019720459E1,1.021510130E1
3.016364510E-1,-3.974374831E-1,-2.801215947E-1,1.045098972E1,1.046229472E1
3.036505760E-1,-3.423708379E-1,-4.788403213E-2,1.054915237E1,1.055481532E1
3.056647980E-1,-3.399766386E-1,6.224924326E-2,1.051084518E1,1.051652631E1
3.076788980E-1,-3.902548850E-1,-2.873042040E-2,1.009425354E1,1.010183542E1
3.096929880E-1,-4.692635238E-1,-4.668693244E-1,9.273042679E0,9.296638949E0
