"event","experiment time","system time","system time text"
"START",0.000000000E0,1713808126.849,"2024-04-22 19:48:46.849 UTC+02:00"
"PAUSE",3.349980645E1,1713808160.349,"2024-04-22 19:49:20.349 UTC+02:00"
