"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.602233820E-1,-2.849099934E-1,-7.637503147E-1,9.711181641E0,9.745334120E0
2.622343820E-1,-1.939303428E-1,-7.709329724E-1,9.703998566E0,9.736505266E0
2.642453820E-1,-4.788403213E-2,-6.512228847E-1,9.567529678E0,9.589786665E0
2.662563820E-1,-8.858546615E-2,-6.655880809E-1,9.529222488E0,9.552849633E0
2.682677150E-1,-1.915361285E-1,-7.302315235E-1,9.443030357E0,9.473159267E0
2.702787150E-1,-2.154781520E-1,-7.302315235E-1,9.502885818E0,9.533336656E0
2.722897150E-1,-2.370259613E-1,-7.182605267E-1,9.574711800E0,9.604539840E0
2.743007150E-1,-2.394201756E-1,-7.661445141E-1,9.818920135E0,9.851674582E0
2.763120000E-1,-3.615244627E-1,-7.278373241E-1,1.002003384E1,1.005293615E1
2.783233750E-1,-3.734954596E-1,-7.038952708E-1,1.001285076E1,1.004450834E1
2.803348190E-1,-3.088520169E-1,-7.302315235E-1,9.981725693E0,1.001316511E1
2.823463190E-1,-8.140286058E-2,-8.140285611E-1,9.847650528E0,9.881573247E0
2.843575000E-1,9.576806799E-3,-8.403648138E-1,9.897929192E0,9.933544534E0
2.863687500E-1,-1.077390760E-1,-7.541735172E-1,9.902717590E0,9.931978709E0
2.883799030E-1,-1.819593310E-1,-6.631938815E-1,9.751882553E0,9.776100892E0
2.903910450E-1,-4.548983276E-2,-7.900865674E-1,9.534010887E0,9.566800390E0
2.924021780E-1,2.633621916E-2,-8.595184088E-1,9.519645691E0,9.558405702E0
2.944133030E-1,-9.337386489E-2,-7.350199223E-1,9.605836868E0,9.634369461E0
2.964244790E-1,-1.268926859E-1,-6.296750307E-1,9.603442192E0,9.624899705E0
2.984356450E-1,-3.351882473E-2,-7.948749661E-1,9.639355659E0,9.672131474E0
3.004467500E-1,-1.149216816E-1,-8.044517636E-1,9.723152161E0,9.757050659E0
3.024578500E-1,-2.585737705E-1,-6.871358752E-1,9.873987198E0,9.901244330E0
3.044688970E-1,-1.221042871E-1,-7.733271718E-1,9.957783699E0,9.988513431E0
3.064799420E-1,-1.292868853E-1,-8.068459630E-1,9.996091843E0,1.002943506E1
3.084909420E-1,-2.657563984E-1,-7.661445141E-1,9.996091843E0,1.002893095E1
3.105019000E-1,-1.939303428E-1,-7.374141216E-1,9.962572098E0,9.991708131E0
3.125128600E-1,-1.699883193E-1,-7.158663273E-1,9.931447983E0,9.958665556E0
3.145238210E-1,-2.226607651E-1,-7.326257229E-1,9.787796021E0,9.817701829E0
3.165348210E-1,-2.561795712E-1,-7.230489254E-1,9.663297653E0,9.693696367E0
3.185458560E-1,-2.082955539E-1,-7.493851185E-1,9.572318077E0,9.603865808E0
3.205568900E-1,-1.939303428E-1,-7.517793179E-1,9.548376083E0,9.579888671E0
3.225679230E-1,-1.939303428E-1,-7.493851185E-1,9.557952881E0,9.589246597E0
3.245788890E-1,-1.987187415E-1,-7.757213712E-1,9.617807388E0,9.651085521E0
3.265898220E-1,-1.987187415E-1,-7.613561153E-1,9.677662849E0,9.709598885E0
3.286006880E-1,-1.747767180E-1,-7.589619160E-1,9.794978142E0,9.825892676E0
3.306166210E-1,-1.795651317E-1,-7.829039693E-1,9.876380920E0,9.908989976E0
3.326325870E-1,-1.891419291E-1,-7.517793179E-1,9.948206902E0,9.978364965E0
3.346485530E-1,-1.843535304E-1,-7.422025204E-1,9.948206902E0,9.977558387E0
3.366644860E-1,-1.819593310E-1,-7.302315235E-1,9.866804123E0,9.895462136E0
