"event","experiment time","system time","system time text"
"START",0.000000000E0,1713806600.395,"2024-04-22 19:23:20.395 UTC+02:00"
"PAUSE",1.550565754E1,1713806615.901,"2024-04-22 19:23:35.901 UTC+02:00"
