"event","experiment time","system time","system time text"
"START",0.000000000E0,1713808263.115,"2024-04-22 19:51:03.115 UTC+02:00"
"PAUSE",1.389996957E1,1713808277.015,"2024-04-22 19:51:17.015 UTC+02:00"
