"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.137942600E-2,-2.346317619E-1,-1.580173075E-1,9.799766541E0,9.803848519E0
2.339142600E-2,-2.130839527E-1,-6.464344263E-2,9.900322914E0,9.902826735E0
2.540342600E-2,-1.963245422E-1,-2.394201700E-3,9.950601578E0,9.952538411E0
2.741542600E-2,-2.011129409E-1,1.436521020E-2,9.943418503E0,9.945462498E0
2.942742600E-2,-2.657563984E-1,-7.182605099E-3,9.917082787E0,9.920645596E0
3.143967600E-2,-3.663128614E-1,-1.149216816E-1,9.840468407E0,9.847954639E0
3.345187600E-2,-4.285621047E-1,-2.705447972E-1,9.696816444E0,9.710051963E0
3.546420900E-2,-5.363011956E-1,-3.471592367E-1,9.613018990E0,9.634224027E0
3.747649400E-2,-6.033388376E-1,-4.381389022E-1,9.459790230E0,9.489131396E0
3.948874400E-2,-6.009446383E-1,-3.303998411E-1,9.416694641E0,9.441633147E0
4.150085500E-2,-5.865794420E-1,-2.561795712E-1,9.433453560E0,9.455144075E0
4.351305500E-2,-5.578489900E-1,-1.316810995E-1,9.505280495E0,9.522546544E0
4.552514500E-2,-5.482721925E-1,-6.703764945E-2,9.613018990E0,9.628874832E0
4.753714500E-2,-5.386953950E-1,-6.703764945E-2,9.677662849E0,9.692875992E0
4.954906800E-2,-5.267243981E-1,-1.077390760E-1,9.792584419E0,9.807331743E0
5.161792500E-2,-5.075707436E-1,-1.843535304E-1,9.890746117E0,9.905476921E0
5.368305800E-2,-4.572925270E-1,-2.513911724E-1,9.929053307E0,9.942756838E0
5.574480800E-2,-3.663128614E-1,-2.442085743E-1,9.919476509E0,9.929241520E0
5.780357200E-2,-2.561795712E-1,-1.532289088E-1,9.921871185E0,9.926360606E0
5.985968300E-2,-2.178723514E-1,-1.149216816E-1,9.929053307E0,9.932108282E0
6.191347200E-2,-1.747767180E-1,-5.746084079E-2,9.919476509E0,9.921182534E0
