"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.163424100E-2,4.457105120E1,6.103505700E0,NaN,NaN,NaN,NaN,2.132724918E-1,2.400000000E3,0.000000000E0,-1.000000000E0
1.918124375E0,4.456978981E1,6.105533922E0,7.562044696E2,8.100000000E2,4.630000114E0,4.659999847E1,2.201062264E-1,1.200000000E1,2.200000000E1,1.100000000E1
2.826495273E0,4.456980553E1,6.105617322E0,7.512043143E2,8.050000000E2,7.750000000E0,5.500000000E1,2.302484269E-1,1.000000000E1,1.700000000E1,2.300000000E1
3.852541289E0,4.456984635E1,6.105731819E0,7.512041128E2,8.050000000E2,1.088999939E1,5.659999847E1,2.379320153E-1,8.500000000E0,1.500000000E1,2.400000000E1
4.831342461E0,4.456990908E1,6.105772471E0,7.562040707E2,8.100000000E2,1.076000023E1,5.629999924E1,2.487915601E-1,5.500000000E0,8.000000000E0,3.000000000E1
5.861012891E0,4.456996482E1,6.105885040E0,7.562038821E2,8.100000000E2,1.051000023E1,5.590000153E1,2.596328919E-1,4.000000000E0,6.000000000E0,3.000000000E1
6.926176641E0,4.457001549E1,6.106001968E0,7.552036818E2,8.090000000E2,1.053999996E1,5.590000153E1,2.700534721E-1,3.500000000E0,5.000000000E0,3.000000000E1
7.858700781E0,4.457006486E1,6.106113782E0,7.562034908E2,8.100000000E2,9.920000076E0,5.509999847E1,2.776119597E-1,3.000000000E0,5.000000000E0,3.100000000E1
8.850080156E0,4.457009634E1,6.106198356E0,7.562033427E2,8.100000000E2,5.839999676E0,5.520000076E1,2.782351366E-1,3.000000000E0,4.000000000E0,3.100000000E1
9.852604766E0,4.457010069E1,6.106203301E0,7.552033356E2,8.090000000E2,1.819999933E0,3.206000061E2,NaN,4.000000000E0,4.000000000E0,3.100000000E1
