"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.601566320E-1,1.915361285E-1,-6.129156351E-1,9.555558205E0,9.577110434E0
2.621676320E-1,1.867477298E-1,-6.153098345E-1,9.603442192E0,9.624945862E0
2.641766320E-1,1.771709323E-1,-6.081272364E-1,9.646537781E0,9.667310869E0
2.661856320E-1,1.747767180E-1,-6.200982332E-1,9.744700432E0,9.765974361E0
2.681949650E-1,2.059013397E-1,-6.272808313E-1,9.828496933E0,9.850646099E0
2.711539650E-1,2.346317619E-1,-6.488286853E-1,9.876380920E0,9.900451041E0
2.731666320E-1,2.513911724E-1,-6.584054828E-1,9.873987198E0,9.899106954E0
2.751766320E-1,2.777273953E-1,-6.536170840E-1,9.852438927E0,9.878000840E0
2.771866320E-1,2.896983922E-1,-6.464344859E-1,9.845256805E0,9.870708397E0
2.791961320E-1,2.873041928E-1,-6.153098345E-1,9.790189743E0,9.813713115E0
2.812061320E-1,2.681505978E-1,-6.105214357E-1,9.756670952E0,9.779430926E0
2.832166320E-1,2.681505978E-1,-6.153098345E-1,9.763854027E0,9.786897179E0
2.852270320E-1,2.657563984E-1,-6.009446383E-1,9.756670952E0,9.778772366E0
2.872373650E-1,2.729389966E-1,-6.009446383E-1,9.787796021E0,9.810024521E0
2.892476500E-1,2.896983922E-1,-6.057330370E-1,9.794978142E0,9.817964884E0
2.912579000E-1,3.016694188E-1,-5.961562395E-1,9.806949615E0,9.829682979E0
2.932681220E-1,2.873041928E-1,-6.105214357E-1,9.826103210E0,9.849242835E0
2.952783220E-1,2.466027737E-1,-6.129156351E-1,9.838073730E0,9.860231905E0
2.972885030E-1,2.346317619E-1,-5.961562395E-1,9.835680008E0,9.856523502E0
2.992986690E-1,2.106897533E-1,-5.841852427E-1,9.818920135E0,9.838539282E0
3.013087450E-1,2.035071403E-1,-5.626373887E-1,9.780612946E0,9.798896141E0
3.033187450E-1,2.082955539E-1,-5.698199868E-1,9.749488831E0,9.768347573E0
3.062367450E-1,2.489969730E-1,-6.153098345E-1,9.617807388E0,9.640685901E0
3.082456320E-1,2.681505978E-1,-6.464344859E-1,9.577106476E0,9.602642904E0
3.102546320E-1,2.777273953E-1,-6.464344859E-1,9.577106476E0,9.602915104E0
3.122646320E-1,2.920926213E-1,-6.177040339E-1,9.615413666E0,9.639660592E0
3.142741320E-1,2.944868207E-1,-6.200982332E-1,9.718363762E0,9.742578638E0
3.162837980E-1,3.016694188E-1,-6.224924326E-1,9.773430824E0,9.797879941E0
3.182932980E-1,2.873041928E-1,-6.177040339E-1,9.862015724E0,9.885517494E0
3.203030980E-1,2.537853718E-1,-6.081272364E-1,9.921871185E0,9.943729359E0
3.223129310E-1,2.394201756E-1,-5.889736414E-1,9.991303444E0,1.001151120E1
3.243227880E-1,2.513911724E-1,-5.937620401E-1,9.969755173E0,9.990584021E0
3.263327880E-1,2.489969730E-1,-5.937620401E-1,9.933841705E0,9.954685524E0
3.283427880E-1,2.442085743E-1,-6.057330370E-1,9.828496933E0,9.850172704E0
3.303527880E-1,2.394201756E-1,-6.129156351E-1,9.785401344E0,9.807500551E0
3.323628780E-1,2.250549644E-1,-6.177040339E-1,9.675268173E0,9.697578163E0
3.343729610E-1,2.346317619E-1,-6.153098345E-1,9.622595787E0,9.645102796E0
3.363830370E-1,2.466027737E-1,-6.177040339E-1,9.603442192E0,9.626446548E0
3.383931080E-1,2.681505978E-1,-6.057330370E-1,9.617807388E0,9.640593146E0
3.404032410E-1,2.920926213E-1,-6.177040339E-1,9.663297653E0,9.687424730E0
3.424133030E-1,2.968810201E-1,-6.296750307E-1,9.744700432E0,9.769535070E0
3.444233610E-1,2.968810201E-1,-6.224924326E-1,9.775824547E0,9.800121466E0
3.464332490E-1,2.896983922E-1,-6.224924326E-1,9.852438927E0,9.876334077E0
3.484430910E-1,2.801215947E-1,-6.153098345E-1,9.900322914E0,9.923379873E0
3.504528410E-1,2.753331959E-1,-6.224924326E-1,9.900322914E0,9.923693818E0
3.524793170E-1,2.609679997E-1,-6.224924326E-1,9.888352394E0,9.911362883E0
3.545051350E-1,2.394201756E-1,-5.937620401E-1,9.818920135E0,9.839769713E0
3.565302650E-1,2.274491638E-1,-5.746083856E-1,9.756670952E0,9.776222992E0
3.585548060E-1,2.274491638E-1,-5.578489900E-1,9.725546837E0,9.744187493E0
3.605787660E-1,1.891419291E-1,-5.650315881E-1,9.656114578E0,9.674481077E0
3.626022270E-1,1.771709323E-1,-5.937620401E-1,9.639355659E0,9.659250511E0
3.646251890E-1,1.867477298E-1,-6.129156351E-1,9.648932457E0,9.670182927E0
3.666477240E-1,1.891419291E-1,-6.081272364E-1,9.668086052E0,9.689039236E0
3.686698610E-1,2.059013397E-1,-6.177040339E-1,9.730335236E0,9.752096053E0
3.706916270E-1,2.418143749E-1,-6.224924326E-1,9.794978142E0,9.817717037E0
3.727133930E-1,2.513911724E-1,-6.248866320E-1,9.826103210E0,9.849161646E0
3.747351930E-1,2.777273953E-1,-6.129156351E-1,9.862015724E0,9.884945737E0
3.767570260E-1,2.801215947E-1,-6.200982332E-1,9.873987198E0,9.897404362E0
3.787788920E-1,2.825157940E-1,-6.177040339E-1,9.854833603E0,9.878214352E0
3.808007250E-1,3.088520169E-1,-6.224924326E-1,9.809343338E0,9.833926129E0
3.828225910E-1,3.064578176E-1,-6.224924326E-1,9.763854027E0,9.788475810E0
3.848444570E-1,3.040636182E-1,-6.081272364E-1,9.730335236E0,9.754060550E0
3.868662230E-1,3.064578176E-1,-6.081272364E-1,9.713575363E0,9.737416570E0
3.888880230E-1,2.873041928E-1,-6.105214357E-1,9.715970039E0,9.739371331E0
3.909098230E-1,2.825157940E-1,-5.985504389E-1,9.739912033E0,9.762374927E0
3.929315890E-1,2.729389966E-1,-5.913678408E-1,9.759065628E0,9.780775713E0
3.949533890E-1,2.442085743E-1,-5.698199868E-1,9.806949615E0,9.826524991E0
3.969752220E-1,2.250549644E-1,-5.650315881E-1,9.847650528E0,9.866414311E0
