"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,4.457020470E1,6.106369500E0,7.586030947E2,8.124000244E2,NaN,NaN,2.690097383E-2,3.209899902E1,4.890416145E0,0.000000000E0
2.199618360E0,4.457013975E1,6.106042368E0,7.692036778E2,8.230000000E2,2.889999866E0,2.328000031E2,2.957645940E-2,1.500000000E1,2.100000000E1,1.600000000E1
3.217283399E0,4.457012173E1,6.106064748E0,7.652036225E2,8.190000000E2,5.769999981E0,2.311000061E2,4.115613331E-2,1.200000000E1,1.600000000E1,2.100000000E1
4.202558282E0,4.457006712E1,6.105940277E0,7.722038354E2,8.260000000E2,9.760000229E0,2.351999969E2,4.617656636E-2,2.600000000E1,2.500000000E1,1.900000000E1
5.210141524E0,4.457008477E1,6.105881939E0,7.542039615E2,8.080000000E2,1.113999939E1,2.333999939E2,6.001759852E-2,9.500000000E0,1.200000000E1,2.700000000E1
6.223354649E0,4.457001658E1,6.105735758E0,7.552042090E2,8.090000000E2,1.073999977E1,2.358000031E2,7.028902488E-2,6.500000000E0,8.000000000E0,2.600000000E1
7.206329102E0,4.456996072E1,6.105632493E0,7.532043791E2,8.070000000E2,1.059000015E1,2.353999939E2,8.114213398E-2,5.500000000E0,7.000000000E0,3.000000000E1
8.219331836E0,4.456990577E1,6.105519254E0,7.532045695E2,8.070000000E2,1.009000015E1,2.336999969E2,8.914463972E-2,5.000000000E0,6.000000000E0,2.900000000E1
9.205931133E0,4.456986080E1,6.105440380E0,7.542046980E2,8.080000000E2,6.949999809E0,2.441000061E2,9.355739530E-2,4.500000000E0,6.000000000E0,2.900000000E1
1.023480949E1,4.456983784E1,6.105394950E0,7.542047738E2,8.080000000E2,2.069999933E0,2.491000061E2,9.435887833E-2,4.000000000E0,5.000000000E0,3.000000000E1
1.121128824E1,4.456983310E1,6.105387323E0,7.542047860E2,8.080000000E2,6.599999666E-1,2.937000122E2,9.471549544E-2,4.500000000E0,5.000000000E0,2.700000000E1
1.221441215E1,4.456983411E1,6.105391597E0,7.552047782E2,8.090000000E2,4.799999893E-1,3.245000000E2,NaN,4.000000000E0,5.000000000E0,2.700000000E1
