"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.631424610E-1,-2.202665508E-1,-3.519476354E-1,9.828496933E0,9.837262650E0
2.651554610E-1,-7.182604820E-2,-4.955997467E-1,9.768642426E0,9.781469876E0
2.671664610E-1,-1.915361360E-2,-5.363011956E-1,9.711181641E0,9.725997876E0
2.691774610E-1,-7.182605099E-3,-5.075707436E-1,9.613018990E0,9.626412299E0
2.711887940E-1,-1.005564705E-1,-3.734954596E-1,9.648932457E0,9.656682040E0
2.732002940E-1,-1.915361285E-1,-3.160346150E-1,9.723152161E0,9.730172244E0
2.752116940E-1,-4.141969085E-1,-2.873041928E-1,9.943418503E0,9.956187739E0
2.772230270E-1,-5.626373887E-1,-2.920926213E-1,1.007749462E1,1.009741436E1
2.792343120E-1,-5.937620401E-1,-2.968810201E-1,1.007031155E1,1.009216856E1
2.812459370E-1,-5.602431893E-1,-3.687070608E-1,9.950601578E0,9.973178485E0
2.832576030E-1,-4.477157295E-1,-4.932055473E-1,9.835680008E0,9.858209894E0
2.852693030E-1,-3.303998411E-1,-5.770025849E-1,9.811738014E0,9.834241145E0
2.881913030E-1,-2.825157940E-1,-4.381389022E-1,9.840468407E0,9.854268077E0
2.902064610E-1,-2.346317619E-1,-2.322375625E-1,9.893140793E0,9.898647438E0
2.922174610E-1,-1.891419291E-1,-1.843535304E-1,9.905111313E0,9.908632146E0
2.942284610E-1,-1.268926859E-1,-2.250549644E-1,9.952995300E0,9.956348072E0
2.962394610E-1,-1.987187415E-1,-3.639186621E-1,9.936236382E0,9.944884080E0
2.982504610E-1,-2.825157940E-1,-4.213795066E-1,9.873987198E0,9.887011634E0
3.002614610E-1,-4.596867263E-1,-4.118026793E-1,9.850045204E0,9.869360864E0
3.022728610E-1,-5.722141862E-1,-4.213795066E-1,9.857227325E0,9.882809333E0
3.042843610E-1,-5.506663918E-1,-4.165911078E-1,9.909899712E0,9.933926410E0
3.062959320E-1,-5.051765442E-1,-4.022258818E-1,9.941024780E0,9.961975842E0
3.083075570E-1,-4.213795066E-1,-3.902548850E-1,9.952995300E0,9.969552398E0
3.103192230E-1,-3.447650373E-1,-3.878606856E-1,9.890746117E0,9.904350437E0
3.123310230E-1,-2.968810201E-1,-4.141969085E-1,9.842862129E0,9.856045470E0
3.143428410E-1,-1.987187415E-1,-5.051765442E-1,9.766247749E0,9.781323406E0
3.163547570E-1,-1.388636976E-1,-5.195417404E-1,9.780612946E0,9.795386482E0
3.183666030E-1,-1.268926859E-1,-4.213795066E-1,9.917082787E0,9.926842068E0
3.203784600E-1,-1.508347094E-1,-3.663128614E-1,1.000327396E1,1.001111513E1
3.223902600E-1,-2.585737705E-1,-2.274491638E-1,1.016368580E1,1.016951830E1
3.244021350E-1,-4.022258818E-1,-1.771709323E-1,1.023551178E1,1.024494395E1
