"event","experiment time","system time","system time text"
"START",0.000000000E0,1713807513.459,"2024-04-22 19:38:33.459 UTC+02:00"
"PAUSE",6.653614180E0,1713807520.112,"2024-04-22 19:38:40.112 UTC+02:00"
