"event","experiment time","system time","system time text"
"START",0.000000000E0,1713808478.296,"2024-04-22 19:54:38.296 UTC+02:00"
"PAUSE",2.515483281E1,1713808503.451,"2024-04-22 19:55:03.451 UTC+02:00"
