"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.612968340E-1,-9.576806799E-3,-1.101332754E-1,9.761459351E0,9.762085315E0
2.633098340E-1,-2.394201607E-2,-1.484405100E-1,9.785401344E0,9.786556456E0
2.653218340E-1,-1.939303428E-1,-1.532289088E-1,9.806949615E0,9.810063651E0
2.673343340E-1,-4.644751251E-1,5.267243832E-2,9.878775597E0,9.889829059E0
2.693470000E-1,-5.817909837E-1,1.843535304E-1,9.924264908E0,9.943012669E0
2.713597500E-1,-7.565677166E-1,3.830722570E-1,9.938630104E0,9.974743476E0
2.733725500E-1,-9.074024558E-1,3.184288144E-1,9.799766541E0,9.846837075E0
2.753852160E-1,-9.648633003E-1,9.816227108E-2,9.579500198E0,9.628469300E0
2.773979300E-1,-8.379706144E-1,4.788403399E-3,9.481337547E0,9.518297083E0
2.794105550E-1,-4.453215301E-1,-2.202665508E-1,9.344868660E0,9.358065980E0
2.823645550E-1,4.309562966E-2,-3.303998411E-1,9.320926666E0,9.326880250E0
2.843788340E-1,3.830722570E-1,-1.460463107E-1,9.481337547E0,9.490196814E0
2.863918340E-1,5.123591423E-1,2.801215947E-1,9.842862129E0,9.860168097E0
2.884048340E-1,4.405331016E-1,6.153098345E-1,1.015889740E1,1.018704432E1
2.904178340E-1,8.619125932E-2,6.033388376E-1,1.022114658E1,1.023930096E1
2.924305000E-1,-3.926490843E-1,2.466027737E-1,1.005115795E1,1.006184687E1
2.944430000E-1,-7.876923680E-1,-1.388636976E-1,9.692028046E0,9.724975580E0
2.964554000E-1,-9.145850539E-1,-2.370259613E-1,9.543587685E0,9.590240509E0
2.984677330E-1,-1.000776291E0,-2.370259613E-1,9.380781174E0,9.436990512E0
3.004800180E-1,-7.876923680E-1,-7.422025502E-2,9.395146370E0,9.428400884E0
3.024922680E-1,-5.985504389E-1,5.746084079E-2,9.469367027E0,9.488439085E0
3.045044900E-1,-2.011129409E-1,3.256114423E-1,9.768642426E0,9.776136459E0
3.065167900E-1,8.858546615E-2,5.123591423E-1,1.013495541E1,1.014828460E1
3.085291530E-1,1.819593310E-1,3.758896589E-1,1.019720459E1,1.020575248E1
3.105416530E-1,1.891419291E-1,1.699883193E-1,1.007270622E1,1.007591591E1
3.125541910E-1,1.532289088E-1,-3.711012602E-1,9.569923401E0,9.578341670E0
3.145669050E-1,3.591302410E-2,-7.230489254E-1,9.016862869E0,9.045877818E0
3.166353710E-1,-1.771709323E-1,-4.525041282E-1,8.870816231E0,8.884116733E0
3.187003710E-1,-4.525041282E-1,2.825157940E-1,9.306561470E0,9.321837885E0
3.207623120E-1,-5.961562395E-1,6.440402865E-1,9.689633369E0,9.729295195E0
3.228215340E-1,-8.355764151E-1,1.000776291E0,1.049887371E1,1.057951276E1
3.248783230E-1,-1.005564690E0,6.057330370E-1,1.094180107E1,1.100459375E1
3.269330230E-1,-9.026140571E-1,-1.125274822E-1,1.083166790E1,1.086979319E1
