"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.623778110E-1,-5.650315881E-1,3.687070608E-1,9.931447983E0,9.954338985E0
2.643878110E-1,-5.650315881E-1,2.705447972E-1,9.852438927E0,9.872335488E0
2.663998110E-1,-1.125274822E-1,-6.703764945E-2,9.569923401E0,9.570819734E0
2.684113110E-1,3.375824392E-1,-1.077390760E-1,9.392752647E0,9.399434659E0
2.704223110E-1,3.806780577E-1,-1.915361360E-2,9.416694641E0,9.424405584E0
2.724333110E-1,1.221042871E-1,1.197100878E-1,9.569923401E0,9.571450980E0
2.744443110E-1,-2.992752194E-1,6.703764945E-2,9.761459351E0,9.766276074E0
2.764554770E-1,-5.770025849E-1,3.591302410E-2,9.943418503E0,9.960210502E0
2.784667620E-1,-6.200982332E-1,5.506663769E-2,1.005355263E1,1.007280867E1
2.804780120E-1,-5.171475410E-1,9.576806426E-2,1.021635818E1,1.022988698E1
2.824893450E-1,-2.394201756E-1,8.140286058E-2,1.018283939E1,1.018597892E1
2.845007450E-1,-1.173158810E-1,4.070143029E-2,1.011101341E1,1.011177590E1
2.865121080E-1,-2.394201700E-3,-3.112462163E-2,9.933841705E0,9.933890753E0
2.885234410E-1,-9.097966552E-2,-2.873042040E-2,9.823708534E0,9.824171828E0
2.905347480E-1,-1.819593310E-1,-9.576806799E-3,9.797372818E0,9.799067050E0
2.925459620E-1,-3.471592367E-1,1.197100803E-2,9.787796021E0,9.793958024E0
2.945572280E-1,-4.429273009E-1,5.027823523E-2,9.768642426E0,9.778808073E0
2.965683530E-1,-4.716577232E-1,5.985504389E-2,9.739912033E0,9.751509116E0
2.985794110E-1,-4.525041282E-1,7.182604820E-2,9.723152161E0,9.733940975E0
3.005904660E-1,-3.519476354E-1,9.816227108E-2,9.680056572E0,9.686949892E0
3.035574660E-1,-2.154781520E-1,8.140286058E-2,9.696816444E0,9.699551867E0
3.055668110E-1,-1.125274822E-1,5.746084079E-2,9.771036148E0,9.771853027E0
3.075778110E-1,-5.985504389E-2,2.873042040E-2,9.847650528E0,9.847874338E0
3.095888110E-1,-7.182604820E-2,5.027823523E-2,9.912294388E0,9.912682125E0
3.116003110E-1,-1.149216816E-1,6.464344263E-2,9.912294388E0,9.913171329E0
3.136119770E-1,-1.915361285E-1,9.097966552E-2,9.890746117E0,9.893018858E0
3.156234770E-1,-2.274491638E-1,9.576806426E-2,9.811738014E0,9.814841186E0
3.176346770E-1,-2.059013397E-1,6.703764945E-2,9.747094154E0,9.749499160E0
3.196458430E-1,-1.915361285E-1,2.154781483E-2,9.519645691E0,9.521596740E0
3.216568430E-1,-2.585737705E-1,2.873042040E-2,9.313743591E0,9.317376536E0
3.236677180E-1,-3.016694188E-1,4.788403213E-2,9.227552414E0,9.232606396E0
3.256786060E-1,-3.687070608E-1,1.053448766E-1,9.194033623E0,9.202026771E0
3.276895060E-1,-3.854664862E-1,1.292868853E-1,9.550769806E0,9.559419616E0
3.297003240E-1,-2.489969730E-1,5.267243832E-2,1.012777233E1,1.013096966E1
3.317110740E-1,-1.580173075E-1,1.436521020E-2,1.039831734E1,1.039952784E1
3.337218430E-1,-3.591302410E-2,-3.591302410E-2,1.071674633E1,1.071686668E1
3.357326280E-1,1.915361360E-2,-4.788403213E-2,1.071914005E1,1.071926412E1
3.386526280E-1,4.309562966E-2,-7.182604820E-2,1.047493172E1,1.047526662E1
3.406618110E-1,-3.112462163E-2,-5.506663769E-2,1.012537861E1,1.012557618E1
3.426738110E-1,-1.101332754E-1,4.788403399E-3,9.790189743E0,9.790810358E0
3.446848110E-1,-2.681505978E-1,5.267243832E-2,9.656114578E0,9.659980739E0
3.466963110E-1,-3.734954596E-1,1.412578970E-1,9.443030357E0,9.451469462E0
3.487076440E-1,-4.333505034E-1,1.843535304E-1,9.306561470E0,9.318469042E0
3.507188940E-1,-4.381389022E-1,1.939303428E-1,9.265859604E0,9.278239535E0
3.527300940E-1,-3.902548850E-1,1.795651317E-1,9.273042679E0,9.282987829E0
3.547414270E-1,-3.088520169E-1,1.221042871E-1,9.399934769E0,9.405799949E0
